metric_name,point_estimate,ci_95_lower,ci_95_upper,ci_method,sample_size,sampling_unit,bootstrap_repetitions,seed,status,notes
china_yolo_precision,0.6568,0.6238,0.6920,Percentile_Bootstrap_2.5_97.5,480,image,2000,42,VALID,Image-level resampling (N=480)
china_yolo_recall,0.7736,0.7395,0.8068,Percentile_Bootstrap_2.5_97.5,480,image,2000,42,VALID,Image-level resampling (N=480)
china_yolo_f1,0.7104,0.6818,0.7388,Percentile_Bootstrap_2.5_97.5,480,image,2000,42,VALID,Image-level resampling (N=480)
china_yolo_matched_iou,0.8007,0.7911,0.8100,Percentile_Bootstrap_2.5_97.5,574,matched_defect_box,2000,42,VALID,Detection-level resampling over TPs (N=574)
india_yolo_precision,0.0964,0.0385,0.1667,Percentile_Bootstrap_2.5_97.5,300,image,2000,42,VALID,Image-level resampling (N=300)
india_yolo_recall,0.0123,0.0045,0.0214,Percentile_Bootstrap_2.5_97.5,300,image,2000,42,VALID,Image-level resampling (N=300)
india_yolo_f1,0.0218,0.0081,0.0374,Percentile_Bootstrap_2.5_97.5,300,image,2000,42,VALID,Image-level resampling (N=300)
india_yolo_matched_iou,0.6841,UNAVAILABLE_INSUFFICIENT_SAMPLE,UNAVAILABLE_INSUFFICIENT_SAMPLE,Percentile_Bootstrap_2.5_97.5,8,matched_defect_box,2000,42,INSUFFICIENT_SAMPLE,Only 8 TP matches exist in 300 India images; bootstrap CI is statistically degenerate and marked UNAVAILABLE_INSUFFICIENT_SAMPLE per Prompt 1B instructions
domain_gate_auroc,1.0000,1.0000,1.0000,Percentile_Bootstrap_2.5_97.5,780,image_pair,2000,42,VALID,Stratified resampling across China (480) & India (300)
domain_gate_china_false_warning_pct,1.4583,0.6250,2.5000,Percentile_Bootstrap_2.5_97.5,480,image,2000,42,VALID,China in-domain threshold p99=0.4491 (7/480 flagged)
domain_gate_india_shift_detection_pct,100.0000,100.0000,100.0000,Percentile_Bootstrap_2.5_97.5,300,image,2000,42,VALID,India cross-domain detection at p99=0.4491 (300/300 detected)
risk_coverage_target_t0_80pct_cov_error_pct,4.1667,2.3438,6.5104,Percentile_Bootstrap_2.5_97.5,384,accepted_image,2000,42,VALID,Accepted failure rate at 80pct_cov (384 accepted images)
risk_coverage_target_t0_50pct_cov_error_pct,2.9167,0.8333,5.0000,Percentile_Bootstrap_2.5_97.5,240,accepted_image,2000,42,VALID,Accepted failure rate at 50pct_cov (240 accepted images)
risk_coverage_target_t1_80pct_cov_error_pct,9.3750,6.5104,12.5000,Percentile_Bootstrap_2.5_97.5,384,accepted_image,2000,42,VALID,Accepted failure rate at 80pct_cov (384 accepted images)
risk_coverage_target_t1_50pct_cov_error_pct,6.2500,3.3333,9.5833,Percentile_Bootstrap_2.5_97.5,240,accepted_image,2000,42,VALID,Accepted failure rate at 50pct_cov (240 accepted images)
xgboost_test_r2,0.8055,0.5866,0.9135,Percentile_Bootstrap_2.5_97.5,24,longitudinal_pair,2000,42,VALID,Held-out test set bootstrap (N=24 rows across 6 sites)
xgboost_test_mae,0.0924,0.0675,0.1210,Percentile_Bootstrap_2.5_97.5,24,longitudinal_pair,2000,42,VALID,Held-out test set bootstrap (N=24 rows across 6 sites)
xgboost_test_rmse,0.1144,0.0799,0.1497,Percentile_Bootstrap_2.5_97.5,24,longitudinal_pair,2000,42,VALID,Held-out test set bootstrap (N=24 rows across 6 sites)
