pair_type,file_a,file_b,metric_type,metric_value,status,notes
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000358.jpg,yolo/data/rdd2022/images/val/China_Drone_000001.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001631.jpg,yolo/data/rdd2022/images/val/China_Drone_000001.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_002371.jpg,yolo/data/rdd2022/images/val/China_Drone_000246.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000852.jpg,yolo/data/rdd2022/images/val/China_Drone_000334.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001313.jpg,yolo/data/rdd2022/images/val/China_Drone_000334.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001211.jpg,yolo/data/rdd2022/images/val/China_Drone_000374.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_001650.jpg,yolo/data/rdd2022/images/val/China_Drone_000374.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000335.jpg,yolo/data/rdd2022/images/val/China_Drone_000417.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000728.jpg,yolo/data/rdd2022/images/val/China_Drone_000417.jpg,phash_hamming_distance,2,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 2/64 bits indicates potential adjacent UAV video frame
train_val_perceptual_near_duplicate,yolo/data/rdd2022/images/train/China_Drone_000040.jpg,yolo/data/rdd2022/images/val/China_Drone_000645.jpg,phash_hamming_distance,4,POTENTIAL_BURST_OR_NEAR_DUPLICATE,Hamming distance 4/64 bits indicates potential adjacent UAV video frame
