metric_name,reported_value,recalculated_value,absolute_difference,relative_difference,source_artifact,status,notes
china_image_count,480,480.0000,0.000000,0.0000%,benchmark_summary.json,EXACT_MATCH,Image denominator
china_gt_boxes,742,742.0000,0.000000,0.0000%,benchmark_summary.json,EXACT_MATCH,Total defect boxes
china_yolo_predictions,874,874.0000,0.000000,0.0000%,benchmark_summary.json,EXACT_MATCH,Total detector output boxes
china_yolo_tp,574,574.0000,0.000000,0.0000%,benchmark_summary.json,EXACT_MATCH,Matched IoU >= 0.50
china_yolo_fp,300,300.0000,0.000000,0.0000%,benchmark_summary.json,EXACT_MATCH,Unmatched predictions
china_yolo_fn,168,168.0000,0.000000,0.0000%,benchmark_summary.json,EXACT_MATCH,Unmatched GT boxes
china_yolo_precision,0.6568,0.6568,0.000049,0.0075%,benchmark_summary.json,ROUNDING_MATCH,TP / (TP + FP)
china_yolo_recall,0.7736,0.7736,0.000015,0.0020%,benchmark_summary.json,ROUNDING_MATCH,TP / (TP + FN)
china_yolo_f1,0.7104,0.7104,0.000004,0.0006%,benchmark_summary.json,ROUNDING_MATCH,Harmonic mean of P & R
china_yolo_mean_matched_iou,0.8007,0.8007,0.000011,0.0014%,benchmark_summary.json,ROUNDING_MATCH,Strictly across TPs
china_yolo_mean_latency_ms,3.62,3.6200,0.000000,0.0000%,benchmark_summary.json,EXACT_MATCH,RTX 5060 Laptop GPU (raw mean: 3.6192 ms)
china_yolo_throughput_fps,276.24,276.2400,0.000000,0.0000%,CANONICAL_RESEARCH_METRICS.json,EXACT_MATCH,1000 / 3.620 ms = 276.24 FPS; raw 1000 / 3.6192 = 276.30 FPS
india_image_count,300,300.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,India dashcam benchmark images
india_gt_boxes,652,652.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,Labeled ground truth boxes
india_yolo_predictions,83,83.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,Total predictions generated
india_yolo_tp,8,8.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,True positive boxes matched at IoU >= 0.50
india_yolo_fp,75,75.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,False alarm predictions
india_yolo_fn,644,644.0000,0.000000,0.0000%,cross_domain_reliability_dataset.csv,EXACT_MATCH,Missed ground truth boxes
