target,rejection_pct,retained_coverage_pct,accepted_samples,rejected_samples,accepted_failures,accepted_correct,accepted_failure_rate_pct,error_reduction_pct,isolated_baseline_errors,percentage_errors_isolated,min_reliability_threshold,mean_accepted_yolo_f1,target_description
Target_T0,0,100,480,0,57,423,11.875,0.0,0,0.0,0.0432,0.7161,Historical zero-defect failure (F1 > 0)
Target_T0,10,90,432,48,21,411,4.8611,59.0643,36,63.1579,0.7427,0.7728,Historical zero-defect failure (F1 > 0)
Target_T0,20,80,384,96,16,368,4.1667,64.9123,41,71.9298,0.8999,0.7722,Historical zero-defect failure (F1 > 0)
Target_T0,30,70,336,144,14,322,4.1667,64.9123,43,75.4386,0.9291,0.7678,Historical zero-defect failure (F1 > 0)
Target_T0,40,60,288,192,12,276,4.1667,64.9123,45,78.9474,0.9458,0.7625,Historical zero-defect failure (F1 > 0)
Target_T0,50,50,240,240,7,233,2.9167,75.4386,50,87.7193,0.9576,0.7578,Historical zero-defect failure (F1 > 0)
Target_T0,60,40,192,288,3,189,1.5625,86.8421,54,94.7368,0.9657,0.7528,Historical zero-defect failure (F1 > 0)
Target_T0,70,30,144,336,2,142,1.3889,88.3041,55,96.4912,0.9759,0.7639,Historical zero-defect failure (F1 > 0)
Target_T0,80,20,96,384,1,95,1.0417,91.2281,56,98.2456,0.9858,0.7375,Historical zero-defect failure (F1 > 0)
Target_T0,90,10,48,432,1,47,2.0833,82.4561,56,98.2456,0.9934,0.701,Historical zero-defect failure (F1 > 0)
Target_T1,0,100,480,0,86,394,17.9167,0.0,0,0.0,0.0858,0.7161,Strict detection quality failure (F1 >= 0.50)
Target_T1,10,90,432,48,49,383,11.3426,36.6925,37,43.0233,0.5889,0.772,Strict detection quality failure (F1 >= 0.50)
Target_T1,20,80,384,96,36,348,9.375,47.6744,50,58.1395,0.7387,0.7967,Strict detection quality failure (F1 >= 0.50)
Target_T1,30,70,336,144,28,308,8.3333,53.4884,58,67.4419,0.8024,0.8116,Strict detection quality failure (F1 >= 0.50)
Target_T1,40,60,288,192,22,266,7.6389,57.3643,64,74.4186,0.8604,0.8226,Strict detection quality failure (F1 >= 0.50)
Target_T1,50,50,240,240,15,225,6.25,65.1163,71,82.5581,0.9091,0.84,Strict detection quality failure (F1 >= 0.50)
Target_T1,60,40,192,288,10,182,5.2083,70.9302,76,88.3721,0.9309,0.8554,Strict detection quality failure (F1 >= 0.50)
Target_T1,70,30,144,336,6,138,4.1667,76.7442,80,93.0233,0.9579,0.8741,Strict detection quality failure (F1 >= 0.50)
Target_T1,80,20,96,384,1,95,1.0417,94.186,85,98.8372,0.9722,0.9045,Strict detection quality failure (F1 >= 0.50)
Target_T1,90,10,48,432,0,48,0.0,100.0,86,100.0,0.9878,0.9264,Strict detection quality failure (F1 >= 0.50)
