site_id,stratum,sample_count,mean_days_ahead,m0_persistence_mae,m1_ols_mae,m4_xgb_mae,paired_delta_mae_m4_vs_m0,m4_beats_persistence,best_performing_model
02-1001,Unseen_Generalization_Site,4,628.0,0.0342,0.0495,0.0478,0.0136,False,M0_Persistence
02-1002,Previously_Observed_Audit_Site,4,623.5,0.1473,0.1272,0.1254,-0.0219,True,M4_XGB
02-1004,Unseen_Generalization_Site,3,682.7,0.087,0.018,0.0327,-0.0543,True,M1_OLS
02-1008,Unseen_Generalization_Site,2,559.0,0.0737,0.0691,0.0374,-0.0363,True,M4_XGB
02-6010,Unseen_Generalization_Site,3,613.3,0.0243,0.0478,0.0271,0.0029,False,M0_Persistence
02-9035,Unseen_Generalization_Site,3,684.7,0.1145,0.1287,0.0849,-0.0296,True,M4_XGB
15-1003,Unseen_Generalization_Site,3,655.7,0.0381,0.0428,0.0432,0.0052,False,M0_Persistence
15-1006,Previously_Observed_Audit_Site,3,655.7,0.0698,0.1287,0.1252,0.0554,False,M0_Persistence
15-1008,Unseen_Generalization_Site,3,649.0,0.0371,0.0268,0.0172,-0.0198,True,M4_XGB
15-7080,Unseen_Generalization_Site,3,650.0,0.0204,0.0655,0.027,0.0066,False,M0_Persistence
22-3056,Unseen_Generalization_Site,3,609.0,0.0289,0.0314,0.0268,-0.0021,True,M4_XGB
22-4001,Unseen_Generalization_Site,2,545.5,0.105,0.0799,0.0745,-0.0305,True,M4_XGB
36-1008,Previously_Observed_Audit_Site,6,345.3,0.056,0.0676,0.0583,0.0023,False,M0_Persistence
36-1011,Unseen_Generalization_Site,8,278.0,0.0239,0.0341,0.0333,0.0094,False,M0_Persistence
36-1643,Unseen_Generalization_Site,8,369.6,0.0925,0.0592,0.1046,0.0121,False,M1_OLS
36-1644,Unseen_Generalization_Site,10,420.2,0.0288,0.0204,0.0244,-0.0044,True,M1_OLS
36-4017,Previously_Observed_Audit_Site,5,357.2,0.0842,0.0785,0.0797,-0.0046,True,M1_OLS
36-4018,Unseen_Generalization_Site,13,175.9,0.0675,0.0664,0.0579,-0.0096,True,M4_XGB
38-2001,Unseen_Generalization_Site,5,355.4,0.0952,0.0908,0.0747,-0.0205,True,M4_XGB
38-3005,Unseen_Generalization_Site,7,389.7,0.0824,0.1153,0.0629,-0.0195,True,M4_XGB
38-3006,Previously_Observed_Audit_Site,2,346.5,0.087,0.096,0.0953,0.0083,False,M0_Persistence
38-5002,Previously_Observed_Audit_Site,4,434.2,0.0272,0.0332,0.0282,0.0009,False,M0_Persistence
44-7401,Unseen_Generalization_Site,9,361.9,0.0051,0.0295,0.0221,0.0169,False,M0_Persistence
