pair_id,site_id,state,state_code,shrp_id,construction_no,current_date,future_date,observed_days_ahead,days_ahead,current_iri_m_per_km,future_iri_m_per_km,delta_iri_m_per_km,rainfall_level,traffic_level,temperature,water_exposure,traffic_source,num_prior_inspections,num_available_inspections,time_since_first_observation_days,time_since_prev_inspection_days,prev_iri_m_per_km,second_prev_iri_m_per_km,most_recent_iri_change,annualized_iri_slope,rolling_iri_mean,rolling_iri_std,same_construction_no,has_at_least_1_prior,has_at_least_2_prior,future_leakage_detected
02-1001_1990-05-28_1991-08-21,02-1001,AK,2,1001,1,1990-05-28,1991-08-21,450,450,1.230999947,1.276000023,0.045000076,3.370222232,192.0,3.920444465,0.668888889,TRF_REP,0,1,0,,,,,,1.230999947,0.0,,False,False,False
02-1001_1997-08-22_1999-06-24,02-1001,AK,2,1001,3,1997-08-22,1999-06-24,671,660,1.416000009,1.52699995,0.11099994099999999,3.110581227,190.0,1.327719826,0.664679583,TRF_MEPDG_AADTT_LTPP_LN,2,3,2643,2193.0,1.276000023,1.230999947,0.13999998600000008,0.023317371129274976,1.3076666596666666,0.09647972659235192,0.0,True,True,False
02-1001_2001-07-14_2003-06-16,02-1001,AK,2,1001,4,2001-07-14,2003-06-16,702,690,1.55400002,1.628999949,0.07499992900000008,3.413390321,192.0,3.285470078,0.650997151,TRF_REP,4,5,4065,751.0,1.52699995,1.416000009,0.02700006999999993,0.013131525389480658,1.4007999898,0.1449437874139539,0.0,True,True,False
02-1001_2003-06-16_2005-05-05,02-1001,AK,2,1001,4,2003-06-16,2005-05-05,689,690,1.628999949,1.674000025,0.045000076,4.138026121,192.0,3.542960813,0.583454282,TRF_REP,5,6,4767,702.0,1.55400002,1.52699995,0.07499992900000008,0.03902239895619662,1.4388333163333336,0.15964386856709564,1.0,True,True,False
02-1002_1990-06-02_1991-08-22,02-1002,AK,2,1002,1,1990-06-02,1991-08-22,446,450,1.700999975,1.557000041,-0.143999934,5.154484312,125.0,4.049551582,0.708520179,TRF_REP,0,1,0,,,,,,1.700999975,0.0,,False,False,False
02-1002_1993-08-25_1995-06-14,02-1002,AK,2,1002,1,1993-08-25,1995-06-14,658,660,1.544999957,1.896999955,0.35199999800000015,6.892249237,180.0,2.154407312,0.775075988,TRF_MEPDG_AADTT_LTPP_LN,2,3,1180,734.0,1.557000041,1.700999975,-0.012000084000000077,-0.005971431445504126,1.6009999910000001,0.08681012673646986,1.0,True,True,False
02-1002_2001-07-14_2003-06-13,02-1002,AK,2,1002,2,2001-07-14,2003-06-13,699,690,1.340000033,1.406999946,0.06699991300000008,7.161516428,242.0,3.858512167,0.688125894,TRF_REP,4,5,4060,2222.0,1.896999955,1.544999957,-0.5569999220000001,-0.09155905558528354,1.6079999922,0.20649694482486117,0.0,True,True,False
02-1002_2003-06-13_2005-05-04,02-1002,AK,2,1002,2,2003-06-13,2005-05-04,691,690,1.406999946,2.036000013,0.6290000670000002,6.527496384,242.0,4.106946459,0.642547033,TRF_REP,5,6,4759,699.0,1.340000033,1.896999955,0.06699991300000008,0.03500961119206013,1.5744999844999998,0.20210466019615125,1.0,True,True,False
02-1004_1993-08-27_1995-06-13,02-1004,AK,2,1004,2,1993-08-27,1995-06-13,655,660,1.799999952,1.962000012,0.16200006,1.192366408,345.0,1.097404577,0.427480916,TRF_REP,0,1,0,,,,,,1.799999952,0.0,,False,False,False
02-1004_2001-07-10_2003-06-12,02-1004,AK,2,1004,3,2001-07-10,2003-06-12,702,690,2.308000088,2.506000042,0.19799995400000014,1.160683763,345.0,1.846438741,0.443019943,TRF_REP,2,3,2874,2219.0,1.962000012,1.799999952,0.34600007599999993,0.056952017917530406,2.023333350666667,0.25949444766315255,0.0,True,True,False
02-1004_2003-06-12_2005-05-03,02-1004,AK,2,1004,3,2003-06-12,2005-05-03,691,690,2.506000042,2.88499999,0.3789999479999997,1.404196818,345.0,1.964254712,0.445730825,TRF_REP,3,4,3576,702.0,2.308000088,1.962000012,0.19799995400000014,0.10301920683547015,2.1440000235000003,0.32114383481964887,1.0,True,True,False
02-1008_1990-05-25_1991-08-29,02-1008,AK,2,1008,1,1990-05-25,1991-08-29,461,450,0.829999983,0.901000023,0.07100004000000004,1.437527111,134.0,1.33752708,0.540130152,TRF_REP,0,1,0,,,,,,0.829999983,0.0,,False,False,False
02-1008_1997-08-28_1999-06-16,02-1008,AK,2,1008,1,1997-08-28,1999-06-16,657,660,1.098999977,1.309999943,0.21099996599999993,0.719482495,134.0,-4.159056294,0.432267884,TRF_REP,2,3,2652,2191.0,0.901000023,0.829999983,0.19799995400000003,0.03300752313943406,0.9433333276666667,0.13940706835021185,1.0,True,True,False
02-6010_1990-05-29_1991-08-28,02-6010,AK,2,6010,1,1990-05-29,1991-08-28,456,450,1.078999996,1.110999942,0.031999946,1.295394742,346.0,3.944736848,0.513157895,TRF_REP,0,1,0,,,,,,1.078999996,0.0,,False,False,False
02-6010_1991-08-28_1993-08-24,02-6010,AK,2,6010,1,1991-08-28,1993-08-24,727,720,1.110999942,1.072999954,-0.03799998800000015,1.02173315,346.0,2.088445672,0.464924347,TRF_REP,1,2,456,456.0,1.078999996,,0.031999946,0.025631535694078948,1.094999969,0.02262737881420334,1.0,True,False,False
02-6010_1993-08-24_1995-06-12,02-6010,AK,2,6010,1,1993-08-24,1995-06-12,657,660,1.072999954,1.149999976,0.077000022,1.061339424,240.0,0.98812785,0.493150685,TRF_MEPDG_AADTT_LTPP_LN,2,3,1183,727.0,1.110999942,1.078999996,-0.03799998800000015,-0.019091465773039967,1.0876666306666667,0.02042872216596377,1.0,True,True,False
02-9035_1997-08-26_1999-06-18,02-9035,AK,2,9035,3,1997-08-26,1999-06-18,661,660,1.144000053,1.350999951,0.20699989799999985,1.793645991,60.0,0.184568828,0.497730711,TRF_MEPDG_AADTT_LTPP_LN,0,1,0,,,,,,1.144000053,0.0,,False,False,False
02-9035_2001-07-16_2003-06-19,02-9035,AK,2,9035,4,2001-07-16,2003-06-19,703,690,1.338000059,1.370000005,0.031999946,2.055192031,160.0,2.760597456,0.499288762,TRF_REP,2,3,1420,759.0,1.350999951,1.144000053,-0.012999891999999846,-0.006255876881422851,1.2776666876666667,0.11594104629222993,0.0,True,True,False
02-9035_2003-06-19_2005-05-09,02-9035,AK,2,9035,4,2003-06-19,2005-05-09,690,690,1.370000005,1.787999988,0.41799998299999985,2.301304346,160.0,2.823188421,0.501449275,TRF_REP,3,4,2123,703.0,1.338000059,1.350999951,0.031999946,0.016625860990753912,1.300750017,0.10532289011733956,1.0,True,True,False
15-1003_1991-02-21_1993-02-03,15-1003,HI,15,1003,1,1991-02-21,1993-02-03,713,720,2.515000105,2.440999985,-0.07400012,1.899158494,164.0,24.25918654,0.465638149,TRF_REP,0,1,0,,,,,,2.515000105,0.0,,False,False,False
15-1003_1995-03-23_1997-02-20,15-1003,HI,15,1003,1,1995-03-23,1997-02-20,700,690,2.404000044,2.525000095,0.12100005100000022,2.36014286,80.0,24.365142855,0.448571429,TRF_MEPDG_AADTT_LTPP_LN,2,3,1491,778.0,2.440999985,2.515000105,-0.036999940999999925,-0.01737047358643955,2.453333378,0.05651847328679592,1.0,True,True,False
15-1003_2001-09-06_2003-03-14,15-1003,HI,15,1003,1,2001-09-06,2003-03-14,554,540,2.5,2.463999987,-0.03600001300000022,2.563357408,160.0,23.850180447,0.418772563,TRF_MEPDG_AADTT_LTPP_LN,4,5,3850,1659.0,2.525000095,2.404000044,-0.025000095000000222,-0.005504089631555203,2.4770000457999997,0.05220634960426687,1.0,True,True,False
15-1006_1991-02-22_1993-02-02,15-1006,HI,15,1006,1,1991-02-22,1993-02-02,711,720,2.420000076,2.332000017,-0.08800005900000007,1.899437411,188.0,24.2727145,0.466947961,TRF_REP,0,1,0,,,,,,2.420000076,0.0,,False,False,False
15-1006_1995-03-21_1997-02-20,15-1006,HI,15,1006,1,1995-03-21,1997-02-20,702,690,2.661999941,2.378999949,-0.28299999200000014,2.367236485,188.0,24.358546991,0.447293447,TRF_REP,2,3,1488,777.0,2.332000017,2.420000076,0.329999924,0.15512544689961388,2.4713333446666663,0.17088392497249288,1.0,True,True,False
15-1006_2001-09-05_2003-03-13,15-1006,HI,15,1006,1,2001-09-05,2003-03-13,554,540,2.361999989,2.318000078,-0.043999911000000225,2.552166067,180.0,23.8648014,0.411552347,TRF_MEPDG_AADTT_LTPP_LN,4,5,3848,1658.0,2.378999949,2.661999941,-0.016999959999999703,-0.0037450153136308153,2.4309999943999996,0.13299245704739432,1.0,True,True,False
15-1008_1991-02-27_1993-02-18,15-1008,HI,15,1008,1,1991-02-27,1993-02-18,722,720,1.807000041,1.875,0.067999959,2.34598338,333.0,23.812083324,0.418282548,TRF_REP,0,1,0,,,,,,1.807000041,0.0,,False,False,False
15-1008_1995-03-29_1997-02-10,15-1008,HI,15,1008,1,1995-03-29,1997-02-10,684,690,1.804999948,1.875,0.07000005199999992,2.995175449,285.0,24.003074649,0.42251462,TRF_MEPDG_AADTT_LTPP_LN,2,3,1491,769.0,1.875,1.807000041,-0.07000005199999992,-0.03324774901560464,1.8289999963333334,0.0398497220316801,1.0,True,True,False
15-1008_2001-09-11_2003-03-06,15-1008,HI,15,1008,1,2001-09-11,2003-03-06,541,540,2.102999926,2.16899991,0.06599998400000029,2.253049912,490.0,23.026617353,0.402957486,TRF_MEPDG_AADTT_LTPP_LN,4,5,3849,1674.0,1.875,1.804999948,0.22799992599999985,0.04974729568189961,1.892999983,0.12236009461831127,1.0,True,True,False
15-7080_1991-02-25_1993-02-17,15-7080,HI,15,7080,1,1991-02-25,1993-02-17,723,720,1.529000044,1.506000042,-0.023000002000000075,1.389073304,236.0,24.456865464,0.57538036,TRF_REP,0,1,0,,,,,,1.529000044,0.0,,False,False,False
15-7080_1995-03-28_1997-02-11,15-7080,HI,15,7080,1,1995-03-28,1997-02-11,686,690,1.45599997,1.51699996,0.060999990000000004,1.791253645,236.0,24.684525555,0.552478134,TRF_REP,2,3,1492,769.0,1.506000042,1.529000044,-0.050000072000000007,-0.023748408710013005,1.4970000186666665,0.03732295561717721,1.0,True,True,False
15-7080_2001-09-10_2003-03-05,15-7080,HI,15,7080,1,2001-09-10,2003-03-05,541,540,1.422000051,1.455000043,0.032999992000000145,1.497412198,236.0,23.762107169,0.53974122,TRF_REP,4,5,3850,1672.0,1.51699996,1.45599997,-0.094999909,-0.020752821030053825,1.4860000134,0.045293482577540636,1.0,True,True,False
22-3056_1990-05-31_1992-01-24,22-3056,LA,22,3056,1,1990-05-31,1992-01-24,603,600,0.745000005,0.847000003,0.10199999800000004,4.587562168,500.0,20.059701516,0.495854063,TRF_REP,0,1,0,,,,,,0.745000005,0.0,,False,False,False
22-3056_1992-01-24_1994-01-13,22-3056,LA,22,3056,1,1992-01-24,1994-01-13,720,720,0.847000003,0.815999985,-0.031000017999999963,3.970277788,500.0,19.022777772,0.493055556,TRF_REP,1,2,603,603.0,0.745000005,,0.10199999800000004,0.06178358087810947,0.7960000039999999,0.07212489026681432,1.0,True,False,False
22-3056_1994-01-13_1995-06-01,22-3056,LA,22,3056,1,1994-01-13,1995-06-01,504,510,0.815999985,0.970000029,0.154000044,5.143452356,500.0,18.625198433,0.537698413,TRF_REP,2,3,1323,720.0,0.847000003,0.745000005,-0.031000017999999963,-0.015726050797916648,0.8026666643333332,0.05229084984966417,1.0,True,True,False
22-4001_1990-06-01_1991-12-12,22-4001,LA,22,4001,1,1990-06-01,1991-12-12,559,570,1.748999953,1.92900002,0.18000006699999993,4.468157406,1172.0,21.107692286,0.57960644,TRF_REP,0,1,0,,,,,,1.748999953,0.0,,False,False,False
22-4001_1993-12-17_1995-06-02,22-4001,LA,22,4001,1,1993-12-17,1995-06-02,532,540,1.97300005,2.217999935,0.24499988499999992,4.931390993,1172.0,18.366729323,0.554511278,TRF_REP,2,3,1295,736.0,1.92900002,1.748999953,0.04400003000000008,0.021835612713994607,1.8836666743333332,0.1186816962972912,1.0,True,True,False
36-1008_1990-06-05_1991-07-30,36-1008,NY,36,1008,2,1990-06-05,1991-07-30,420,420,1.22300005,1.164000034,-0.05900001599999993,2.898809543,375.0,10.787142837,0.571428571,TRF_REP,0,1,0,,,,,,1.22300005,0.0,,False,False,False
36-1008_1991-07-30_1992-10-23,36-1008,NY,36,1008,2,1991-07-30,1992-10-23,451,450,1.164000034,0.989000022,-0.17500001200000004,3.295121949,375.0,8.904656321,0.616407982,TRF_REP,1,2,420,420.0,1.22300005,,-0.05900001599999993,-0.05130894248571423,1.1935000420000001,0.04171931140371476,1.0,True,False,False
36-1008_1992-10-23_1993-07-29,36-1008,NY,36,1008,2,1992-10-23,1993-07-29,279,270,0.989000022,1.164000034,0.17500001200000004,3.670250897,375.0,5.202150563,0.612903226,TRF_REP,2,3,871,451.0,1.164000034,1.22300005,-0.17500001200000004,-0.14172672812195125,1.1253333686666667,0.12169772607571679,1.0,True,True,False
36-1008_1993-07-29_1994-09-07,36-1008,NY,36,1008,2,1993-07-29,1994-09-07,405,420,1.164000034,1.036999941,-0.12700009300000015,3.550864181,375.0,8.296790127,0.637037037,TRF_REP,3,4,1150,279.0,0.989000022,1.164000034,0.17500001200000004,0.22909947807526887,1.135000035,0.10122912347738733,1.0,True,True,False
36-1008_1994-09-07_1995-06-13,36-1008,NY,36,1008,2,1994-09-07,1995-06-13,279,270,1.036999941,1.016000032,-0.020999908999999928,2.338709665,375.0,5.515770614,0.537634409,TRF_REP,4,5,1555,405.0,1.164000034,0.989000022,-0.12700009300000015,-0.11453526905740755,1.1154000162,0.09801176084940966,1.0,True,True,False
