sample_id,dataset_id,original_id,isolation_group_id,remediated_partition,phase1_role,present_in_phase1_harmonized_view,image_path,annotation_path,source_classes,decision_category,include_as_negative,pilot_action,evidence,reviewer,review_date
rdd2022_china_drone::phash6_00cb9932a93b::china_drone_000470,rdd2022_china_drone,China_Drone_000470,phash6_00cb9932a93b,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000470.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000470.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0246fe8db05c::china_drone_000834,rdd2022_china_drone,China_Drone_000834,phash6_0246fe8db05c,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000834.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000834.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_026689a98427::china_drone_001486,rdd2022_china_drone,China_Drone_001486,phash6_026689a98427,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001486.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001486.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0505a4e22482::china_drone_000080,rdd2022_china_drone,China_Drone_000080,phash6_0505a4e22482,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000080.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000080.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_057aaebdc8bc::china_drone_001320,rdd2022_china_drone,China_Drone_001320,phash6_057aaebdc8bc,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001320.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001320.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0780004ce416::china_drone_000391,rdd2022_china_drone,China_Drone_000391,phash6_0780004ce416,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000391.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000391.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_08da85d1484f::china_drone_000809,rdd2022_china_drone,China_Drone_000809,phash6_08da85d1484f,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000809.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000809.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0938c6756246::china_drone_001857,rdd2022_china_drone,China_Drone_001857,phash6_0938c6756246,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001857.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001857.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_097fdc13b301::china_drone_001593,rdd2022_china_drone,China_Drone_001593,phash6_097fdc13b301,train,dino_reference,false,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001593.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_001593.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
rdd2022_china_drone::phash6_0a8e3621f05c::china_drone_000423,rdd2022_china_drone,China_Drone_000423,phash6_0a8e3621f05c,train,yolo_train,true,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000423.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/annotations/xmls/China_Drone_000423.xml,Repair,Contains only excluded visible distress,false,exclude_from_pilot,Validated source annotation contains only excluded classes: Repair.,Codex source-annotation and full-image review,2026-09-12
