model_id,model,source,source_label,class_id,class_name,gt_objects,predicted_objects,tp,fp,fn,precision,recall,f1,ap50,map50_95,mean_matched_iou
m_uav0,M-UAV0,rdd2022_china_drone,China UAV,0,longitudinal_crack,95,110,55,55,40,0.5,0.5789473684210527,0.5365853658536586,0.5668198408283789,0.26160339306443603,0.7404850881782481
m_uav0,M-UAV0,rdd2022_china_drone,China UAV,1,transverse_crack,73,92,54,38,19,0.5869565217391305,0.7397260273972602,0.6545454545454545,0.6726533043649392,0.32893907820347307,0.7616266529315525
m_uav0,M-UAV0,rdd2022_china_drone,China UAV,2,alligator_crack,24,5,2,3,22,0.4,0.08333333333333333,0.13793103448275862,0.11514923305583735,0.062158472887549145,0.7213292172805121
m_uav0,M-UAV0,rdd2022_china_drone,China UAV,3,pothole,32,5,5,0,27,1.0,0.15625,0.2702702702702703,0.576003296776591,0.3026550314455327,0.7355071753089218
m_uav0,M-UAV0,uav_pdd2023,UAV-PDD,0,longitudinal_crack,165,52,11,41,154,0.21153846153846154,0.06666666666666667,0.10138248847926266,0.08357312413457349,0.02495645048388978,0.6304551405157315
m_uav0,M-UAV0,uav_pdd2023,UAV-PDD,1,transverse_crack,243,145,52,93,191,0.3586206896551724,0.2139917695473251,0.2680412371134021,0.21043088306982985,0.07544646981351893,0.6744927515368748
m_uav0,M-UAV0,uav_pdd2023,UAV-PDD,2,alligator_crack,39,1,0,1,39,0.0,0.0,0.0,0.0018353813535750439,0.0004456771254334578,0.0
m_uav0,M-UAV0,uav_pdd2023,UAV-PDD,3,pothole,15,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0
m_uav1,M-UAV1,rdd2022_china_drone,China UAV,0,longitudinal_crack,95,125,61,64,34,0.488,0.6421052631578947,0.5545454545454545,0.5860787221968473,0.2915568203358775,0.7647218715008764
m_uav1,M-UAV1,rdd2022_china_drone,China UAV,1,transverse_crack,73,114,57,57,16,0.5,0.7808219178082192,0.6096256684491979,0.6743790170831188,0.34743529024950864,0.7794742648907657
m_uav1,M-UAV1,rdd2022_china_drone,China UAV,2,alligator_crack,24,28,9,19,15,0.32142857142857145,0.375,0.3461538461538462,0.368030107593504,0.17052842613490707,0.7214609010272102
m_uav1,M-UAV1,rdd2022_china_drone,China UAV,3,pothole,32,4,4,0,28,1.0,0.125,0.2222222222222222,0.2918655071784812,0.20036615749671297,0.8477286674796203
m_uav1,M-UAV1,uav_pdd2023,UAV-PDD,0,longitudinal_crack,165,107,22,85,143,0.205607476635514,0.13333333333333333,0.16176470588235295,0.0875812398853676,0.02865054059875971,0.6702198364302336
m_uav1,M-UAV1,uav_pdd2023,UAV-PDD,1,transverse_crack,243,266,82,184,161,0.3082706766917293,0.3374485596707819,0.3222003929273084,0.22390427202240037,0.07196692122159422,0.6739864677793032
m_uav1,M-UAV1,uav_pdd2023,UAV-PDD,2,alligator_crack,39,17,1,16,38,0.058823529411764705,0.02564102564102564,0.035714285714285705,0.018233663291929506,0.005409908379198059,0.5733317281257597
m_uav1,M-UAV1,uav_pdd2023,UAV-PDD,3,pothole,15,1,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0
