pair_id,sample_id_a,sample_id_b,dataset_a,dataset_b,image_path_a,image_path_b,phash_distance,manual_decision,exclude_from_independent_evaluation,review_basis,reviewer,review_date
PHASH-01,highrpd::1x00025::1x00025_640_10_08,rdd2022_china_drone::phash6_089e711e85d2::china_drone_000617,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00025_640_10_08.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000617.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-02,highrpd::1x00084::1x00084_640_01_09,rdd2022_china_drone::phash6_27e3ce554593::china_drone_000976,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00084_640_01_09.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000976.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-03,highrpd::1x00065::1x00065_640_08_04,rdd2022_china_drone::phash6_27e3ce554593::china_drone_000976,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00065_640_08_04.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000976.jpg,4,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-04,highrpd::dji_20230707094621_0040::dji_20230707094621_0040_640_07_06,rdd2022_china_drone::phash6_29c3d1f60034::china_drone_002021,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094621_0040_640_07_06.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002021.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-05,highrpd::1x00040::1x00040_640_06_07,rdd2022_china_drone::phash6_29c3d1f60034::china_drone_002021,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00040_640_06_07.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002021.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-06,highrpd::dji_20230707094550_0012::dji_20230707094550_0012_640_05_06,rdd2022_china_drone::phash6_3ce779bbc683::china_drone_001777,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094550_0012_640_05_06.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001777.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-07,highrpd::dji_20230707094818_0149::dji_20230707094818_0149_640_02_06,rdd2022_china_drone::phash6_5a0aa8dd0bd7::china_drone_001215,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094818_0149_640_02_06.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001215.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-08,highrpd::dji_20230707094536_0001::dji_20230707094536_0001_640_02_05,rdd2022_china_drone::phash6_6e3f6c81d119::china_drone_001873,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094536_0001_640_02_05.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001873.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-09,highrpd::dji_20230707094942_0230::dji_20230707094942_0230_640_05_10,rdd2022_china_drone::phash6_6f22f97d807b::china_drone_000091,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/DJI_20230707094942_0230_640_05_10.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000091.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
PHASH-10,highrpd::1x00084::1x00084_640_01_09,rdd2022_china_drone::phash6_76c177643be6::china_drone_000260,highrpd,rdd2022_china_drone,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00084_640_01_09.jpg,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000260.jpg,6,Visually different,false,Side-by-side full-image visual review; scene geometry and surface features do not match.,Codex visual review,2026-09-12
