sample_id,dataset_id,original_id,group_id,role,image_path,annotation_path,annotation_format,source_classes,canonical_classes,damage_state,is_external_test,group_method,independence_status,phase1_role,partition,isolation_group_id,role_adjustment,yolo_training,dinov2_reference_bank,sam2_development_candidate,highrpd_pretraining_candidate,dinov2_threshold_calibration,reliability_calibration,model_validation,china_heldout_test,uav_pdd_heldout_test,uapd_evaluation_candidate,poznan_evaluation,india_dashcam_stress_test,sam2_final_mask_test,pilot_eligible,canonical_empty_decision
highrpd::1x00001::1x00001_640_00_00,highrpd,1x00001_640_00_00,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_00.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_00.txt,yolo,pit,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_00_01,highrpd,1x00001_640_00_01,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_01.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_01.txt,yolo,pit,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_00_02,highrpd,1x00001_640_00_02,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_02.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_02.txt,yolo,line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_00_05,highrpd,1x00001_640_00_05,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_05.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_05.txt,yolo,line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_00_09,highrpd,1x00001_640_00_09,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_09.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_09.txt,yolo,line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_00_10,highrpd,1x00001_640_00_10,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_10.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_10.txt,yolo,line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_00_11,highrpd,1x00001_640_00_11,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_11.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_11.txt,yolo,block|line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_00_12,highrpd,1x00001_640_00_12,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_00_12.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_00_12.txt,yolo,line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_01_02,highrpd,1x00001_640_01_02,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_01_02.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_01_02.txt,yolo,line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
highrpd::1x00001::1x00001_640_01_05,highrpd,1x00001_640_01_05,1x00001,highrpd_pretraining,data/external_uav/highrpd/extracted/content/HighRPD/images/1x00001_640_01_05.jpg,data/external_uav/highrpd/extracted/content/HighRPD/labels/1x00001_640_01_05.txt,yolo,line,,annotation_empty_or_noncanonical,false,filename_original_8192x5460_photo,verified_source_photo_group,highrpd_pretraining,train,1x00001,none,false,false,false,true,false,false,false,false,false,false,false,false,false,false,not_canonical_empty
