model_dataset,split,sample_id,dataset_id,original_id,isolation_group_id,image_path,materialized_image,materialized_label,is_verified_negative,longitudinal_objects,transverse_objects,alligator_objects,pothole_objects,total_objects
m_uav0,train,rdd2022_china_drone::phash6_00223df80964::china_drone_000492,rdd2022_china_drone,China_Drone_000492,phash6_00223df80964,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000492.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/2027882b76eb66e5e8c2.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/2027882b76eb66e5e8c2.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0022d3c07a58::china_drone_000406,rdd2022_china_drone,China_Drone_000406,phash6_0022d3c07a58,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000406.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/7fcfa358bffe61a8154b.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/7fcfa358bffe61a8154b.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_0040f6292bff::china_drone_000054,rdd2022_china_drone,China_Drone_000054,phash6_0040f6292bff,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000054.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/c0429887e00f3badb62f.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/c0429887e00f3badb62f.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_005536d05aed::china_drone_001779,rdd2022_china_drone,China_Drone_001779,phash6_005536d05aed,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001779.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/0647c5c0a194f32587a4.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/0647c5c0a194f32587a4.txt,false,1,0,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_005bfa4a19c3::china_drone_001383,rdd2022_china_drone,China_Drone_001383,phash6_005bfa4a19c3,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001383.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/0ae826e00c608cb24cd1.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/0ae826e00c608cb24cd1.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_008618769d77::china_drone_000638,rdd2022_china_drone,China_Drone_000638,phash6_008618769d77,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000638.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/2ecc4e0ab1eb4f9022e9.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/2ecc4e0ab1eb4f9022e9.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_00e327cb9a2e::china_drone_002073,rdd2022_china_drone,China_Drone_002073,phash6_00e327cb9a2e,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002073.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/fe9136a00962918921e7.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/fe9136a00962918921e7.txt,false,0,2,0,0,2
m_uav0,train,rdd2022_china_drone::phash6_0154ae5cf809::china_drone_000533,rdd2022_china_drone,China_Drone_000533,phash6_0154ae5cf809,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_000533.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/cc609a7f42ecfb7d6701.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/cc609a7f42ecfb7d6701.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_017afc26aa1b::china_drone_001302,rdd2022_china_drone,China_Drone_001302,phash6_017afc26aa1b,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_001302.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/82be67f11cab35e2bebc.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/82be67f11cab35e2bebc.txt,false,0,1,0,0,1
m_uav0,train,rdd2022_china_drone::phash6_018d78e6e14c::china_drone_002140,rdd2022_china_drone,China_Drone_002140,phash6_018d78e6e14c,RoadSentinel_datasets/rdd2022_full/China_Drone/China_Drone/train/images/China_Drone_002140.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/images/train/987aad007abbec0b45d2.jpg,data/external_uav/prepared/uav2a_pilot/m_uav0/labels/train/987aad007abbec0b45d2.txt,false,2,0,0,0,2
