image_id,dataset,gt_count,yolo_pred_count,yolo_tp,yolo_fp,yolo_fn,yolo_precision,yolo_recall,yolo_f1,yolo_success_label,yolo_failure_label,yolo_success,yolo_failure,mean_confidence,max_confidence,min_confidence,std_confidence,num_low_confidence,num_high_confidence,num_low_conf,num_high_conf,dino_knn_distance,dino_centroid_distance,dino_ood_score,domain_familiarity_score,brightness,contrast,sharpness,edge_density,image_brightness,image_contrast,image_sharpness,image_edge_density,dino_sam_f1,dino_sam_defect_count,dino_sam_severity
India_000005,RDD2022_India,1,1,0,1,1,0.0,0.0,0.0,0,1,0,1,0.2832,0.2832,0.2832,0.0,1,0,1,0,0.853,0.9459,1.0,0.0,153.391,39.747,238.6984,0.0274,153.391,39.747,238.6984,0.0274,0.0,4,0.5854
India_000010,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8763,0.9881,1.0,0.0,127.9926,74.7918,656.0906,0.0446,127.9926,74.7918,656.0906,0.0446,0.0,2,0.7227
India_000011,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8639,0.9772,1.0,0.0,147.5334,76.7678,194.2528,0.0199,147.5334,76.7678,194.2528,0.0199,0.0,1,0.4403
India_000014,RDD2022_India,3,0,0,0,3,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8614,0.9492,1.0,0.0,132.1256,84.1739,140.0531,0.02,132.1256,84.1739,140.0531,0.02,0.0,3,0.995
India_000017,RDD2022_India,5,0,0,0,5,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.9041,1.0016,1.0,0.0,117.1929,87.9961,435.3601,0.0269,117.1929,87.9961,435.3601,0.0269,0.0,0,0.0
India_000024,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8886,1.016,1.0,0.0,121.7482,76.3689,294.5067,0.0247,121.7482,76.3689,294.5067,0.0247,0.0,2,0.7785
India_000027,RDD2022_India,6,0,0,0,6,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8427,0.9234,1.0,0.0,134.9195,62.2472,373.8408,0.0367,134.9195,62.2472,373.8408,0.0367,0.0,1,0.5655
India_000028,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8705,0.9572,1.0,0.0,132.6772,69.9677,193.0904,0.0307,132.6772,69.9677,193.0904,0.0307,0.0,2,0.5395
India_000032,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8284,0.9069,1.0,0.0,107.279,83.7269,931.3242,0.0542,107.279,83.7269,931.3242,0.0542,0.0,0,0.0
India_000038,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8376,0.936,1.0,0.0,138.5486,63.6406,383.7745,0.0401,138.5486,63.6406,383.7745,0.0401,0.0,1,0.2224
India_000043,RDD2022_India,7,1,0,1,7,0.0,0.0,0.0,0,1,0,1,0.4027,0.4027,0.4027,0.0,0,0,0,0,0.7838,0.8876,1.0,0.0,160.0085,39.8928,150.1505,0.0119,160.0085,39.8928,150.1505,0.0119,0.0,3,0.5741
India_000052,RDD2022_India,9,0,0,0,9,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8064,0.8839,1.0,0.0,158.9119,40.4307,40.3494,0.0118,158.9119,40.4307,40.3494,0.0118,0.0,3,0.7633
India_000053,RDD2022_India,3,1,0,1,3,0.0,0.0,0.0,0,1,0,1,0.4884,0.4884,0.4884,0.0,0,0,0,0,0.8479,0.9252,1.0,0.0,153.7914,41.7524,312.4281,0.031,153.7914,41.7524,312.4281,0.031,0.0,3,0.3497
India_000054,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8621,0.9689,1.0,0.0,133.1904,49.6219,331.5987,0.0382,133.1904,49.6219,331.5987,0.0382,0.0,5,0.668
India_000055,RDD2022_India,3,0,0,0,3,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8356,0.9389,1.0,0.0,126.6834,75.3368,426.1445,0.0308,126.6834,75.3368,426.1445,0.0308,0.0,1,0.8338
India_000057,RDD2022_India,5,0,0,0,5,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8428,0.9672,1.0,0.0,115.0601,64.3361,986.4991,0.0773,115.0601,64.3361,986.4991,0.0773,0.0,3,0.77
India_000061,RDD2022_India,2,2,0,2,2,0.0,0.0,0.0,0,1,0,1,0.3637,0.4354,0.2919,0.0718,1,0,1,0,0.885,0.9673,1.0,0.0,124.9087,80.7655,408.1976,0.0324,124.9087,80.7655,408.1976,0.0324,0.0,3,0.8162
India_000067,RDD2022_India,2,1,0,1,2,0.0,0.0,0.0,0,1,0,1,0.4123,0.4123,0.4123,0.0,0,0,0,0,0.8362,0.9414,1.0,0.0,157.4564,40.4508,416.9087,0.0427,157.4564,40.4508,416.9087,0.0427,0.0,2,0.5164
India_000071,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8747,0.9897,1.0,0.0,117.8751,61.4243,1336.5823,0.1006,117.8751,61.4243,1336.5823,0.1006,0.0,1,0.339
India_000076,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8088,0.901,1.0,0.0,93.717,85.9606,1319.1128,0.0757,93.717,85.9606,1319.1128,0.0757,0.0,1,0.2497
India_000078,RDD2022_India,4,0,0,0,4,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8939,1.008,1.0,0.0,129.5261,81.8919,830.2512,0.0458,129.5261,81.8919,830.2512,0.0458,0.0,1,0.768
India_000081,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8938,0.992,1.0,0.0,154.0945,47.9459,369.1588,0.0422,154.0945,47.9459,369.1588,0.0422,0.0,3,0.7568
India_000086,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.6598,0.7857,1.0,0.0,140.1046,47.3926,266.5775,0.048,140.1046,47.3926,266.5775,0.048,0.0,5,0.6282
India_000088,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8542,0.9509,1.0,0.0,143.2277,55.2823,407.9138,0.0416,143.2277,55.2823,407.9138,0.0416,0.0,2,0.8308
India_000090,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.83,0.9449,1.0,0.0,140.2279,53.6934,355.8082,0.0354,140.2279,53.6934,355.8082,0.0354,0.0,1,0.429
India_000092,RDD2022_India,4,0,0,0,4,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.838,0.9521,1.0,0.0,141.2433,43.19,437.5267,0.044,141.2433,43.19,437.5267,0.044,0.0,1,0.5501
India_000093,RDD2022_India,1,1,0,1,1,0.0,0.0,0.0,0,1,0,1,0.2831,0.2831,0.2831,0.0,1,0,1,0,0.8352,0.9057,1.0,0.0,104.2815,83.2515,466.1372,0.0432,104.2815,83.2515,466.1372,0.0432,0.0,3,0.7845
India_000099,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.9132,1.0292,1.0,0.0,118.8088,72.566,314.9043,0.0295,118.8088,72.566,314.9043,0.0295,0.0,3,0.7257
India_000102,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8735,0.958,1.0,0.0,131.6317,76.3445,740.3267,0.0536,131.6317,76.3445,740.3267,0.0536,0.0,2,0.7505
India_000103,RDD2022_India,1,1,0,1,1,0.0,0.0,0.0,0,1,0,1,0.3217,0.3217,0.3217,0.0,1,0,1,0,0.8106,0.904,1.0,0.0,154.4707,40.8371,264.3082,0.0306,154.4707,40.8371,264.3082,0.0306,0.0,3,0.8095
India_000104,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8338,0.9136,1.0,0.0,136.4502,73.2662,160.3535,0.0201,136.4502,73.2662,160.3535,0.0201,0.0,1,0.8167
India_000105,RDD2022_India,3,0,0,0,3,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8384,0.9177,1.0,0.0,154.6877,40.8118,164.8018,0.0189,154.6877,40.8118,164.8018,0.0189,0.0,2,0.7584
India_000109,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8312,0.9048,1.0,0.0,152.9125,38.7358,428.2113,0.032,152.9125,38.7358,428.2113,0.032,0.0,1,0.718
India_000114,RDD2022_India,1,0,0,0,1,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8918,1.0006,1.0,0.0,104.8803,80.4825,179.4706,0.0254,104.8803,80.4825,179.4706,0.0254,0.0,2,0.8347
India_000115,RDD2022_India,2,0,0,0,2,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8369,0.9189,1.0,0.0,154.1976,42.9162,319.9791,0.0338,154.1976,42.9162,319.9791,0.0338,0.0,3,0.5465
India_000125,RDD2022_India,4,0,0,0,4,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8731,0.9792,1.0,0.0,143.8159,40.0275,336.516,0.0468,143.8159,40.0275,336.516,0.0468,0.0,1,0.5692
India_000126,RDD2022_India,3,0,0,0,3,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.8599,0.9469,1.0,0.0,135.4216,80.3515,1087.2324,0.0813,135.4216,80.3515,1087.2324,0.0813,0.0,3,0.7577
