segment,day,image_id,metadata_status,domain_status,dino_ood_score,raw_domain_distance,reliability_score,reliability_band,yolo_max_confidence,yolo_prediction_count,current_severity,current_severity_band,defect_count,defect_area_ratio,crack_area_ratio,surface_anomaly_score,water_flag,temporal_eligible,temporal_state,severity_delta,defect_area_delta,matched_track_count,normal_90d,heavy_rain_90d,heavy_traffic_90d,high_heat_90d,wet_exposure_90d,largest_forecast_scenario,largest_forecast_delta,forecast_change_band,decision,primary_reason,secondary_reason,limitations
SEG_001,1,SEG_001_day_01,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7172,0.88,HIGH,0.0,0,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.2977,False,False,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,LOW model severity (0.0000) but input visual domain differs from training ODD (d=0.7172 > 0.4491).,Assigned to monitoring tier as domain safety precaution; forecast delta is +0.0544.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,2,SEG_001_day_02,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5488,0.5681,LOW,0.4609440267086029,1,0.2489,MODERATE_MODEL_SEVERITY,1,0.002212,0.0,0.28,False,False,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0514,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.5681) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,3,SEG_001_day_03,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6294,0.483,LOW,0.38487476110458374,1,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.3001,False,True,NO_TEMPORAL_CONTEXT,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.4830) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,4,SEG_001_day_04,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5872,0.7242,MEDIUM,0.6145790219306946,1,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.299,False,True,STABLE_MODEL_RESPONSE,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,"Observation classified into routine monitoring tier (Severity: 0.0000, Reliability: 0.7242).",Temporal trend is STABLE_MODEL_RESPONSE; forecast indicates MODERATE_FORECAST_CHANGE (+0.0544).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,5,SEG_001_day_05,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.6418,0.577,LOW,0.46903157234191895,1,0.2432,MODERATE_MODEL_SEVERITY,1,0.000991,0.0,0.2857,False,True,INCREASING_MODEL_RESPONSE,0.2432,0.000991,0,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0571,MODERATE_FORECAST_CHANGE,REINSPECT,Low perception reliability (0.5770) indicates high perceptual uncertainty or detector confusion.,Observation quarantined for manual reinspection before road-health interpretation.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,6,SEG_001_day_06,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5488,0.5681,LOW,0.4609440267086029,1,0.7141,HIGH_MODEL_SEVERITY,8,0.027425,0.0,0.3219,False,True,MIXED_OR_CONFOUNDED_CHANGE,0.4709,0.026434,1,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.0504,MODERATE_FORECAST_CHANGE,PRIORITY_REVIEW,Severe model-derived distress (0.7141) accompanied by LOW perception reliability (0.5681).,High apparent distress requires urgent verification despite perceptual ambiguity.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,7,SEG_001_day_07,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.7445,0.88,HIGH,0.0,0,0.7285,HIGH_MODEL_SEVERITY,5,0.027872,0.0,0.2964,False,True,MIXED_OR_CONFOUNDED_CHANGE,0.0144,0.000447,5,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.036,LOW_FORECAST_CHANGE,PRIORITY_REVIEW,HIGH current model severity (0.7285) with HIGH perception reliability (0.8800).,Model response is environmentally modulated by lighting shift; forecast projects HEAVY_TRAFFIC delta of +0.0360.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,8,SEG_001_day_08,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5872,0.7242,MEDIUM,0.6145790219306946,1,0.7,HIGH_MODEL_SEVERITY,7,0.038241,0.0,0.3102,False,True,MIXED_OR_CONFOUNDED_CHANGE,-0.0285,0.010369,3,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.0645,MODERATE_FORECAST_CHANGE,PRIORITY_REVIEW,HIGH current model severity (0.7000) with MEDIUM perception reliability (0.7242).,Model response is environmentally modulated by lighting shift; forecast projects HEAVY_TRAFFIC delta of +0.0645.,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,9,SEG_001_day_09,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5486,0.6316,MEDIUM,0.5198338627815247,1,0.2469,MODERATE_MODEL_SEVERITY,1,0.001094,0.0,0.2854,False,True,MIXED_OR_CONFOUNDED_CHANGE,-0.4531,-0.037147,1,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.0534,MODERATE_FORECAST_CHANGE,MONITOR,MODERATE model severity (0.2469) with MEDIUM reliability (0.6316).,Temporal trend is MIXED_OR_CONFOUNDED_CHANGE; HEAVY_TRAFFIC scenario produces largest 90-day increase (+0.0534).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
SEG_001,10,SEG_001_day_10,VALID,EXTREME_DOMAIN_SHIFT,1.0,0.5872,0.7242,MEDIUM,0.6145790219306946,1,0.0,LOW_MODEL_SEVERITY,0,0.0,0.0,0.3286,False,True,MIXED_OR_CONFOUNDED_CHANGE,-0.2469,-0.001094,0,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544,MODERATE_FORECAST_CHANGE,MONITOR,"Observation classified into routine monitoring tier (Severity: 0.0000, Reliability: 0.7242).",Temporal trend is MIXED_OR_CONFOUNDED_CHANGE; forecast indicates MODERATE_FORECAST_CHANGE (+0.0544).,Simulated synthetic capture; visual domain differs from real-world drone training reference.
