hazard_id,day,segment_id,hazard_type,severity,confidence,source_model,local_segment_distance_m,global_distance_m,latitude,longitude
HAZARD_SEG_002_D01_IDX01,1,SEG_002,Road Defect,0.3155,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_002_D01_IDX02,1,SEG_002,Road Defect,0.3155,0.85,YOLOv8n / DINOv2,275.0,675.0,8.897277,76.618652
HAZARD_SEG_003_D01_IDX01,1,SEG_003,Road Defect,0.2472,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_001_D02_IDX01,2,SEG_001,Road Defect,0.2489,0.85,YOLOv8n / DINOv2,135.0,135.0,8.89405,76.614978
HAZARD_SEG_002_D02_IDX01,2,SEG_002,Pothole,0.3498,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_002_D02_IDX02,2,SEG_002,Road Defect,0.3498,0.85,YOLOv8n / DINOv2,275.0,675.0,8.897277,76.618652
HAZARD_SEG_003_D02_IDX01,2,SEG_003,Road Defect,0.2447,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_002_D03_IDX01,3,SEG_002,Pothole,0.261,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_003_D03_IDX01,3,SEG_003,Road Defect,0.2435,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_002_D04_IDX01,4,SEG_002,Pothole,0.3687,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_002_D04_IDX02,4,SEG_002,Road Defect,0.3687,0.85,YOLOv8n / DINOv2,275.0,675.0,8.897277,76.618652
HAZARD_SEG_002_D04_IDX03,4,SEG_002,Road Defect,0.3687,0.85,YOLOv8n / DINOv2,60.0,460.0,8.896026,76.617158
HAZARD_SEG_003_D04_IDX01,4,SEG_003,Road Defect,0.2417,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_004_D04_IDX01,4,SEG_004,Pothole,0.315,0.85,YOLOv8n / DINOv2,135.0,1335.0,8.900827,76.623485
HAZARD_SEG_004_D04_IDX02,4,SEG_004,Pothole,0.315,0.85,YOLOv8n / DINOv2,275.0,1475.0,8.901522,76.624556
HAZARD_SEG_001_D05_IDX01,5,SEG_001,Road Defect,0.2432,0.85,YOLOv8n / DINOv2,135.0,135.0,8.89405,76.614978
HAZARD_SEG_002_D05_IDX01,5,SEG_002,Pothole,0.7078,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_002_D05_IDX02,5,SEG_002,Pothole,0.7078,0.85,YOLOv8n / DINOv2,275.0,675.0,8.897277,76.618652
HAZARD_SEG_002_D05_IDX03,5,SEG_002,Pothole,0.7078,0.85,YOLOv8n / DINOv2,60.0,460.0,8.896026,76.617158
HAZARD_SEG_002_D05_IDX04,5,SEG_002,Pothole,0.7078,0.85,YOLOv8n / DINOv2,320.0,720.0,8.897533,76.618971
HAZARD_SEG_002_D05_IDX05,5,SEG_002,Pothole,0.7078,0.85,YOLOv8n / DINOv2,180.0,580.0,8.896729,76.617987
HAZARD_SEG_003_D05_IDX01,5,SEG_003,Road Defect,0.244,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_004_D05_IDX01,5,SEG_004,Pothole,0.7302,0.85,YOLOv8n / DINOv2,135.0,1335.0,8.900827,76.623485
HAZARD_SEG_004_D05_IDX02,5,SEG_004,Pothole,0.7302,0.85,YOLOv8n / DINOv2,275.0,1475.0,8.901522,76.624556
HAZARD_SEG_004_D05_IDX03,5,SEG_004,Pothole,0.7302,0.85,YOLOv8n / DINOv2,60.0,1260.0,8.900446,76.622918
HAZARD_SEG_004_D05_IDX04,5,SEG_004,Pothole,0.7302,0.85,YOLOv8n / DINOv2,320.0,1520.0,8.901741,76.624903
HAZARD_SEG_001_D06_IDX01,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,135.0,135.0,8.89405,76.614978
HAZARD_SEG_001_D06_IDX02,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,275.0,275.0,8.894914,76.615905
HAZARD_SEG_001_D06_IDX03,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,60.0,60.0,8.89358,76.614488
HAZARD_SEG_001_D06_IDX04,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,320.0,320.0,8.895187,76.616207
HAZARD_SEG_001_D06_IDX05,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,180.0,180.0,8.89433,76.615274
HAZARD_SEG_001_D06_IDX06,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,240.0,240.0,8.894699,76.615672
HAZARD_SEG_001_D06_IDX07,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,90.0,90.0,8.893769,76.614683
HAZARD_SEG_001_D06_IDX08,6,SEG_001,Pothole,0.7141,0.85,YOLOv8n / DINOv2,310.0,310.0,8.895126,76.61614
HAZARD_SEG_002_D06_IDX01,6,SEG_002,Pothole,0.3491,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_002_D06_IDX02,6,SEG_002,Road Defect,0.3491,0.85,YOLOv8n / DINOv2,275.0,675.0,8.897277,76.618652
HAZARD_SEG_003_D06_IDX01,6,SEG_003,Road Defect,0.2436,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_004_D06_IDX01,6,SEG_004,Pothole,0.6612,0.85,YOLOv8n / DINOv2,135.0,1335.0,8.900827,76.623485
HAZARD_SEG_004_D06_IDX02,6,SEG_004,Pothole,0.6612,0.85,YOLOv8n / DINOv2,275.0,1475.0,8.901522,76.624556
HAZARD_SEG_004_D06_IDX03,6,SEG_004,Pothole,0.6612,0.85,YOLOv8n / DINOv2,60.0,1260.0,8.900446,76.622918
HAZARD_SEG_004_D06_IDX04,6,SEG_004,Pothole,0.6612,0.85,YOLOv8n / DINOv2,320.0,1520.0,8.901741,76.624903
HAZARD_SEG_004_D06_IDX05,6,SEG_004,Pothole,0.6612,0.85,YOLOv8n / DINOv2,180.0,1380.0,8.901052,76.623828
HAZARD_SEG_004_D06_IDX06,6,SEG_004,Pothole,0.6612,0.85,YOLOv8n / DINOv2,240.0,1440.0,8.90135,76.624287
HAZARD_SEG_001_D07_IDX01,7,SEG_001,Pothole,0.7285,0.85,YOLOv8n / DINOv2,135.0,135.0,8.89405,76.614978
HAZARD_SEG_001_D07_IDX02,7,SEG_001,Pothole,0.7285,0.85,YOLOv8n / DINOv2,275.0,275.0,8.894914,76.615905
HAZARD_SEG_001_D07_IDX03,7,SEG_001,Pothole,0.7285,0.85,YOLOv8n / DINOv2,60.0,60.0,8.89358,76.614488
HAZARD_SEG_001_D07_IDX04,7,SEG_001,Pothole,0.7285,0.85,YOLOv8n / DINOv2,320.0,320.0,8.895187,76.616207
HAZARD_SEG_001_D07_IDX05,7,SEG_001,Pothole,0.7285,0.85,YOLOv8n / DINOv2,180.0,180.0,8.89433,76.615274
HAZARD_SEG_002_D07_IDX01,7,SEG_002,Pothole,0.2551,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_003_D07_IDX01,7,SEG_003,Road Defect,0.2459,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_004_D07_IDX01,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,135.0,1335.0,8.900827,76.623485
HAZARD_SEG_004_D07_IDX02,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,275.0,1475.0,8.901522,76.624556
HAZARD_SEG_004_D07_IDX03,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,60.0,1260.0,8.900446,76.622918
HAZARD_SEG_004_D07_IDX04,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,320.0,1520.0,8.901741,76.624903
HAZARD_SEG_004_D07_IDX05,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,180.0,1380.0,8.901052,76.623828
HAZARD_SEG_004_D07_IDX06,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,240.0,1440.0,8.90135,76.624287
HAZARD_SEG_004_D07_IDX07,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,90.0,1290.0,8.900599,76.623145
HAZARD_SEG_004_D07_IDX08,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,310.0,1510.0,8.901692,76.624826
HAZARD_SEG_004_D07_IDX09,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,135.0,1335.0,8.900827,76.623485
HAZARD_SEG_004_D07_IDX10,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,275.0,1475.0,8.901522,76.624556
HAZARD_SEG_004_D07_IDX11,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,60.0,1260.0,8.900446,76.622918
HAZARD_SEG_004_D07_IDX12,7,SEG_004,Pothole,0.8134,0.85,YOLOv8n / DINOv2,320.0,1520.0,8.901741,76.624903
HAZARD_SEG_001_D08_IDX01,8,SEG_001,Pothole,0.7,0.85,YOLOv8n / DINOv2,135.0,135.0,8.89405,76.614978
HAZARD_SEG_001_D08_IDX02,8,SEG_001,Pothole,0.7,0.85,YOLOv8n / DINOv2,275.0,275.0,8.894914,76.615905
HAZARD_SEG_001_D08_IDX03,8,SEG_001,Pothole,0.7,0.85,YOLOv8n / DINOv2,60.0,60.0,8.89358,76.614488
HAZARD_SEG_001_D08_IDX04,8,SEG_001,Pothole,0.7,0.85,YOLOv8n / DINOv2,320.0,320.0,8.895187,76.616207
HAZARD_SEG_001_D08_IDX05,8,SEG_001,Pothole,0.7,0.85,YOLOv8n / DINOv2,180.0,180.0,8.89433,76.615274
HAZARD_SEG_001_D08_IDX06,8,SEG_001,Pothole,0.7,0.85,YOLOv8n / DINOv2,240.0,240.0,8.894699,76.615672
HAZARD_SEG_001_D08_IDX07,8,SEG_001,Pothole,0.7,0.85,YOLOv8n / DINOv2,90.0,90.0,8.893769,76.614683
HAZARD_SEG_002_D08_IDX01,8,SEG_002,Pothole,0.3288,0.85,YOLOv8n / DINOv2,135.0,535.0,8.896467,76.617675
HAZARD_SEG_003_D08_IDX01,8,SEG_003,Road Defect,0.2443,0.85,YOLOv8n / DINOv2,135.0,935.0,8.898728,76.620513
HAZARD_SEG_004_D08_IDX01,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,135.0,1335.0,8.900827,76.623485
HAZARD_SEG_004_D08_IDX02,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,275.0,1475.0,8.901522,76.624556
HAZARD_SEG_004_D08_IDX03,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,60.0,1260.0,8.900446,76.622918
HAZARD_SEG_004_D08_IDX04,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,320.0,1520.0,8.901741,76.624903
HAZARD_SEG_004_D08_IDX05,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,180.0,1380.0,8.901052,76.623828
HAZARD_SEG_004_D08_IDX06,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,240.0,1440.0,8.90135,76.624287
HAZARD_SEG_004_D08_IDX07,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,90.0,1290.0,8.900599,76.623145
HAZARD_SEG_004_D08_IDX08,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,310.0,1510.0,8.901692,76.624826
HAZARD_SEG_004_D08_IDX09,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,135.0,1335.0,8.900827,76.623485
HAZARD_SEG_004_D08_IDX10,8,SEG_004,Pothole,0.8104,0.85,YOLOv8n / DINOv2,275.0,1475.0,8.901522,76.624556
