segment_id,day,lighting_preset,road_health_state,pothole_sizing_spectrum,pothole_density_per_100m2,pothole_moisture_state,camera_preset,event,expected_image_path,expected_metadata_path
SEG_001,1,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,0.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_01.png,env/output/temporal_segments/SEG_001/day_01_metadata.json
SEG_002,1,Overcast Day,Pristine (Grade A),Micro Pitting & Hairlines,0.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_01.png,env/output/temporal_segments/SEG_002/day_01_metadata.json
SEG_003,1,Dense Atmospheric Fog,Pristine (Grade A),Micro Pitting & Hairlines,0.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_01.png,env/output/temporal_segments/SEG_003/day_01_metadata.json
SEG_004,1,Dense Atmospheric Fog,Pristine (Grade A),Micro Pitting & Hairlines,0.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_01.png,env/output/temporal_segments/SEG_004/day_01_metadata.json
SEG_005,1,Night Highway with Lamps,Pristine (Grade A),Micro Pitting & Hairlines,0.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_005/day_01.png,env/output/temporal_segments/SEG_005/day_01_metadata.json
SEG_006,1,Clear Noon (70° Sun),Pristine (Grade A),Micro Pitting & Hairlines,0.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_006/day_01.png,env/output/temporal_segments/SEG_006/day_01_metadata.json
SEG_001,2,Golden Hour Sunset,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_02.png,env/output/temporal_segments/SEG_001/day_02_metadata.json
SEG_002,2,Dense Atmospheric Fog,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_02.png,env/output/temporal_segments/SEG_002/day_02_metadata.json
SEG_003,2,Dense Atmospheric Fog,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_02.png,env/output/temporal_segments/SEG_003/day_02_metadata.json
SEG_004,2,Dense Atmospheric Fog,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_02.png,env/output/temporal_segments/SEG_004/day_02_metadata.json
SEG_005,2,Heavy Rain & Wet Road,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_005/day_02.png,env/output/temporal_segments/SEG_005/day_02_metadata.json
SEG_006,2,Dense Atmospheric Fog,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_006/day_02.png,env/output/temporal_segments/SEG_006/day_02_metadata.json
SEG_001,3,Dense Atmospheric Fog,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_001/day_03.png,env/output/temporal_segments/SEG_001/day_03_metadata.json
SEG_002,3,Night Highway with Lamps,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,100% Dry Crushed Aggregate,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_002/day_03.png,env/output/temporal_segments/SEG_002/day_03_metadata.json
SEG_003,3,Heavy Rain & Wet Road,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_003/day_03.png,env/output/temporal_segments/SEG_003/day_03_metadata.json
SEG_004,3,Dense Atmospheric Fog,Minor Wear (Grade B),Micro Pitting & Hairlines,1.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_004/day_03.png,env/output/temporal_segments/SEG_004/day_03_metadata.json
SEG_005,3,Heavy Rain & Wet Road,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,100% Waterlogged Puddles,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_005/day_03.png,env/output/temporal_segments/SEG_005/day_03_metadata.json
SEG_006,3,Golden Hour Sunset,Moderate Deterioration (Grade C),Multi-Scale Organic (20cm - 1.6m),3.5,Mixed Wet / Dry Cavities,🔭 Overhead Drone Survey (SAM 2 Top-Down),normal,env/output/temporal_segments/SEG_006/day_03.png,env/output/temporal_segments/SEG_006/day_03_metadata.json
