segment_id,day,image_id,metadata_status,camera_preset,lighting_preset,road_health_state,current_severity,defect_count,defect_area_ratio,crack_area_ratio,surface_anomaly_score,water_flag,goal1_status,goal2_status,goal2_sequence_id,goal2_exclusion_reason,previous_compatible_day,observed_severity_change,observed_area_change,matched_track_count,normal_90d_forecast,heavy_rain_90d_forecast,heavy_traffic_90d_forecast,high_heat_90d_forecast,wet_exposure_90d_forecast
SEG_001,1,SEG_001_day_01,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Pristine (Grade A),0.0,0,0.0,0.0,0.2977,False,COMPLETED,TEMPORAL_MATCH_NOT_APPLICABLE,NONE,VIEWPOINT_CHANGE (Overhead Drone Survey on Day01 vs Overlook on Day03-10),N/A,N/A,N/A,N/A,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_001,2,SEG_001_day_02,VALID,💧 Waterlogged Pothole Macro View,Clear Noon (70° Sun),Critical Hazard (Grade F),0.2489,1,0.002212,0.0,0.28,False,COMPLETED,TEMPORAL_MATCH_NOT_APPLICABLE,NONE,VIEWPOINT_CHANGE (Waterlogged Macro View on Day02 vs Overlook on Day03-10),N/A,N/A,N/A,N/A,0.2808,0.2808,0.3003,0.2893,0.3
SEG_001,3,SEG_001_day_03,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.0,0,0.0,0.0,0.3001,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,N/A,N/A,N/A,N/A,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_001,4,SEG_001_day_04,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Critical Hazard (Grade F),0.0,0,0.0,0.0,0.299,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,3,0.0,0.0,0,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_001,5,SEG_001_day_05,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.2432,1,0.000991,0.0,0.2857,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,4,0.2432,0.000991,0,0.2808,0.2808,0.3003,0.2893,0.3
SEG_001,6,SEG_001_day_06,VALID,🌄 Highway Curve Vantage Overlook,Overcast Day,Moderate Deterioration (Grade C),0.7141,8,0.027425,0.0,0.3219,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,5,0.4709,0.026434,1,0.7446,0.7446,0.7645,0.7536,0.7614
SEG_001,7,SEG_001_day_07,VALID,🌄 Highway Curve Vantage Overlook,Overcast Day,Severe Breakdown (Grade D - Critical),0.7285,5,0.027872,0.0,0.2964,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,6,0.0144,0.000447,5,0.7446,0.7446,0.7645,0.7536,0.7614
SEG_001,8,SEG_001_day_08,VALID,🌄 Highway Curve Vantage Overlook,Golden Hour Sunset,Severe Breakdown (Grade D - Critical),0.7,7,0.038241,0.0,0.3102,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,7,-0.0285,0.010369,3,0.7446,0.7446,0.7645,0.7536,0.7614
SEG_001,9,SEG_001_day_09,VALID,🌄 Highway Curve Vantage Overlook,Clear Noon (70° Sun),Critical Hazard (Grade F),0.2469,1,0.001094,0.0,0.2854,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,8,-0.4531,-0.037147,1,0.2808,0.2808,0.3003,0.2893,0.3
SEG_001,10,SEG_001_day_10,VALID,🌄 Highway Curve Vantage Overlook,Golden Hour Sunset,Critical Hazard (Grade F),0.0,0,0.0,0.0,0.3286,False,COMPLETED,ELIGIBLE,SEG_001_D03_D10,NONE,9,-0.2469,-0.001094,0,0.0345,0.0345,0.0544,0.0432,0.0526
SEG_002,1,SEG_002_day_01,VALID,🔍 Low-Angle Pothole Inspection (30° Close-Up),Clear Noon (70° Sun),Pristine (Grade A),0.3155,2,0.001281,0.0,0.277,False,COMPLETED,ELIGIBLE,SEG_002_D01_D02,NONE,N/A,N/A,N/A,N/A,0.3057,0.3057,0.3252,0.3143,0.3249
SEG_002,2,SEG_002_day_02,VALID,🔍 Low-Angle Pothole Inspection (30° Close-Up),Clear Noon (70° Sun),Pristine (Grade A),0.3498,2,0.000254,0.0,0.272,False,COMPLETED,ELIGIBLE,SEG_002_D01_D02,NONE,1,0.0343,-0.001027,2,0.3108,0.3108,0.3303,0.3194,0.33
SEG_002,3,SEG_002_day_03,VALID,🔭 Overhead Drone Survey (SAM 2 Top-Down),Clear Noon (70° Sun),Moderate Deterioration (Grade C),0.261,1,0.002742,0.0,0.2747,False,COMPLETED,TEMPORAL_MATCH_NOT_APPLICABLE,NONE,VIEWPOINT_CHANGE (Overhead Drone Survey on Day03 isolate),N/A,N/A,N/A,N/A,0.2808,0.2808,0.3003,0.2893,0.3
