segment_id,day,image_id,current_severity,normal_30,normal_60,normal_90,heavy_rain_90,heavy_traffic_90,high_heat_90,wet_exposure_90,largest_predicted_90d_scenario,largest_predicted_90d_severity
SEG_001,1,SEG_001_day_01,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_001,2,SEG_001_day_02,0.2489,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_001,3,SEG_001_day_03,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_001,4,SEG_001_day_04,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_001,5,SEG_001_day_05,0.2432,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_001,6,SEG_001_day_06,0.7141,0.7446,0.7446,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.7645
SEG_001,7,SEG_001_day_07,0.7285,0.7446,0.7446,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.7645
SEG_001,8,SEG_001_day_08,0.7,0.7446,0.7446,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.7645
SEG_001,9,SEG_001_day_09,0.2469,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_001,10,SEG_001_day_10,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_002,1,SEG_002_day_01,0.3155,0.3057,0.3057,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,0.3252
SEG_002,2,SEG_002_day_02,0.3498,0.3108,0.3108,0.3108,0.3108,0.3303,0.3194,0.33,HEAVY_TRAFFIC,0.3303
SEG_002,3,SEG_002_day_03,0.261,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_002,4,SEG_002_day_04,0.3687,0.3283,0.3283,0.3283,0.3283,0.3478,0.3368,0.3475,HEAVY_TRAFFIC,0.3478
SEG_002,5,SEG_002_day_05,0.7078,0.7446,0.7446,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.7645
SEG_002,6,SEG_002_day_06,0.3491,0.3108,0.3108,0.3108,0.3108,0.3303,0.3194,0.33,HEAVY_TRAFFIC,0.3303
SEG_002,7,SEG_002_day_07,0.2551,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_002,8,SEG_002_day_08,0.3288,0.3057,0.3057,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,0.3252
SEG_002,9,SEG_002_day_09,0.3276,0.3057,0.3057,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,0.3252
SEG_002,10,SEG_002_day_10,0.3275,0.3057,0.3057,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,0.3252
SEG_003,1,SEG_003_day_01,0.2472,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,2,SEG_003_day_02,0.2447,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,3,SEG_003_day_03,0.2435,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,4,SEG_003_day_04,0.2417,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,5,SEG_003_day_05,0.244,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,6,SEG_003_day_06,0.2436,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,7,SEG_003_day_07,0.2459,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,8,SEG_003_day_08,0.2443,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,9,SEG_003_day_09,0.2437,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_003,10,SEG_003_day_10,0.2459,0.2808,0.2808,0.2808,0.2808,0.3003,0.2893,0.3,HEAVY_TRAFFIC,0.3003
SEG_004,1,SEG_004_day_01,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_004,2,SEG_004_day_02,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_004,3,SEG_004_day_03,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_004,4,SEG_004_day_04,0.315,0.3057,0.3057,0.3057,0.3057,0.3252,0.3143,0.3249,HEAVY_TRAFFIC,0.3252
SEG_004,5,SEG_004_day_05,0.7302,0.7446,0.7446,0.7446,0.7446,0.7645,0.7536,0.7614,HEAVY_TRAFFIC,0.7645
SEG_004,6,SEG_004_day_06,0.6612,0.6213,0.6213,0.6213,0.6213,0.6412,0.6311,0.6381,HEAVY_TRAFFIC,0.6412
SEG_004,7,SEG_004_day_07,0.8134,0.7892,0.7892,0.7892,0.7892,0.8092,0.7982,0.8056,HEAVY_TRAFFIC,0.8092
SEG_004,8,SEG_004_day_08,0.8104,0.7892,0.7892,0.7892,0.7892,0.8092,0.7982,0.8056,HEAVY_TRAFFIC,0.8092
SEG_004,9,SEG_004_day_09,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
SEG_004,10,SEG_004_day_10,0.0,0.0345,0.0345,0.0345,0.0345,0.0544,0.0432,0.0526,HEAVY_TRAFFIC,0.0544
