coverage_pct,coverage_ratio,accepted_samples,rejected_samples,min_reliability_threshold,accepted_failure_rate,accepted_success_rate,rejected_failure_rate,mean_accepted_yolo_f1,error_reduction_pct
100.0,1.0,480,0,0.0148,0.1187,0.8812,0.0,0.7161,0.0
95.0,0.95,456,24,0.0522,0.0724,0.9276,1.0,0.7538,39.06
90.0,0.9,432,48,0.7478,0.0509,0.9491,0.7292,0.7697,57.12
85.0,0.85,408,72,0.8485,0.049,0.951,0.5139,0.7684,58.72
80.0,0.8,384,96,0.8899,0.0469,0.9531,0.4062,0.7663,60.53
75.0,0.75,360,120,0.9167,0.0472,0.9528,0.3333,0.7659,60.23
70.0,0.7,336,144,0.9283,0.0476,0.9524,0.2847,0.7613,59.9
65.0,0.65,312,168,0.9406,0.0417,0.9583,0.2619,0.7676,64.91
60.0,0.6,288,192,0.9509,0.0417,0.9583,0.2344,0.7667,64.91
55.0,0.55,264,216,0.9578,0.0341,0.9659,0.2222,0.7672,71.29
50.0,0.5,240,240,0.9636,0.0292,0.9708,0.2083,0.7677,75.44
