image_id,segment_id,day,lighting_preset,road_health_state,camera_preset,moisture_state,density,current_severity,defect_count,crack_area_ratio,defect_area_ratio,surface_anomaly_score,water_flag,inference_time_ms,schema_valid,metadata_status,result_path
SEG_001_day_01,SEG_001,1,Clear Noon (70° Sun),Pristine (Grade A),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,2.8,0.0,0,0.0,0.0,0.2977,False,994.32,True,VALID,integration/experiment_a/perception/SEG_001/day_01
SEG_002_day_01,SEG_002,1,Clear Noon (70° Sun),Pristine (Grade A),🔍 Low-Angle Pothole Inspection (30° Close-Up),100% Dry Crushed Aggregate,10.0,0.3155,2,0.0,0.001281346450617284,0.277,False,764.37,True,VALID,integration/experiment_a/perception/SEG_002/day_01
SEG_003_day_01,SEG_003,1,Clear Noon (70° Sun),Pristine (Grade A),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.3,0.2472,1,0.0,0.0024546682098765434,0.2903,False,593.89,True,VALID,integration/experiment_a/perception/SEG_003/day_01
SEG_004_day_01,SEG_004,1,Clear Noon (70° Sun),Moderate Deterioration (Grade C),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,3.5,0.0,0,0.0,0.0,0.2748,False,492.76,True,VALID,integration/experiment_a/perception/SEG_004/day_01
SEG_001_day_02,SEG_001,2,Clear Noon (70° Sun),Critical Hazard (Grade F),💧 Waterlogged Pothole Macro View,Mixed Wet / Dry Cavities,3.8,0.2489,1,0.0,0.0022120949074074074,0.28,False,609.51,True,VALID,integration/experiment_a/perception/SEG_001/day_02
SEG_002_day_02,SEG_002,2,Clear Noon (70° Sun),Pristine (Grade A),🔍 Low-Angle Pothole Inspection (30° Close-Up),100% Dry Crushed Aggregate,10.0,0.3498,2,0.0,0.0002541473765432099,0.272,False,744.92,True,VALID,integration/experiment_a/perception/SEG_002/day_02
SEG_003_day_02,SEG_003,2,Clear Noon (70° Sun),Pristine (Grade A),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.3,0.2447,1,0.0,0.0010739776234567901,0.2921,False,595.63,True,VALID,integration/experiment_a/perception/SEG_003/day_02
SEG_004_day_02,SEG_004,2,Golden Hour Sunset,Minor Wear (Grade B),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,3.5,0.0,0,0.0,0.0,0.2967,False,588.44,True,VALID,integration/experiment_a/perception/SEG_004/day_02
SEG_001_day_03,SEG_001,3,Clear Noon (70° Sun),Moderate Deterioration (Grade C),🌄 Highway Curve Vantage Overlook,100% Dry Crushed Aggregate,4.8,0.0,0,0.0,0.0,0.3001,False,229.76,True,VALID,integration/experiment_a/perception/SEG_001/day_03
SEG_002_day_03,SEG_002,3,Clear Noon (70° Sun),Moderate Deterioration (Grade C),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,3.5,0.261,1,0.0,0.002742091049382716,0.2747,False,568.9,True,VALID,integration/experiment_a/perception/SEG_002/day_03
SEG_003_day_03,SEG_003,3,Clear Noon (70° Sun),Pristine (Grade A),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.3,0.2435,1,0.0,0.0009177276234567901,0.2929,False,584.23,True,VALID,integration/experiment_a/perception/SEG_003/day_03
SEG_004_day_03,SEG_004,3,Clear Noon (70° Sun),Moderate Deterioration (Grade C),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,3.5,0.0,0,0.0,0.0,0.2781,False,236.91,True,VALID,integration/experiment_a/perception/SEG_004/day_03
SEG_001_day_04,SEG_001,4,Clear Noon (70° Sun),Critical Hazard (Grade F),🌄 Highway Curve Vantage Overlook,100% Dry Crushed Aggregate,4.8,0.0,0,0.0,0.0,0.299,False,244.73,True,VALID,integration/experiment_a/perception/SEG_001/day_04
SEG_002_day_04,SEG_002,4,Clear Noon (70° Sun),Moderate Deterioration (Grade C),💧 Waterlogged Pothole Macro View,Mixed Wet / Dry Cavities,5.0,0.3687,3,0.0,0.0010652970679012345,0.26,False,848.6,True,VALID,integration/experiment_a/perception/SEG_002/day_04
SEG_003_day_04,SEG_003,4,Clear Noon (70° Sun),Pristine (Grade A),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.3,0.2417,1,0.0,0.0009567901234567902,0.272,False,604.86,True,VALID,integration/experiment_a/perception/SEG_003/day_04
SEG_004_day_04,SEG_004,4,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,3.5,0.315,2,0.0,0.0011535493827160494,0.287,False,724.44,True,VALID,integration/experiment_a/perception/SEG_004/day_04
SEG_001_day_05,SEG_001,5,Clear Noon (70° Sun),Moderate Deterioration (Grade C),🌄 Highway Curve Vantage Overlook,100% Waterlogged Puddles,5.6,0.2432,1,0.0,0.0009905478395061727,0.2857,False,614.81,True,VALID,integration/experiment_a/perception/SEG_001/day_05
SEG_002_day_05,SEG_002,5,Overcast Day,Moderate Deterioration (Grade C),💧 Waterlogged Pothole Macro View,Mixed Wet / Dry Cavities,5.0,0.7078,5,0.0,0.020931712962962964,0.2949,False,1601.9,True,VALID,integration/experiment_a/perception/SEG_002/day_05
SEG_003_day_05,SEG_003,5,Clear Noon (70° Sun),Pristine (Grade A),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.3,0.244,1,0.0,0.0010464891975308641,0.2768,False,605.36,True,VALID,integration/experiment_a/perception/SEG_003/day_05
SEG_004_day_05,SEG_004,5,Overcast Day,Severe Breakdown (Grade D - Critical),🔭 Overhead Drone Survey (SAM 2 Top-Down),100% Dry Crushed Aggregate,3.5,0.7302,4,0.0,0.026687403549382715,0.284,False,1443.93,True,VALID,integration/experiment_a/perception/SEG_004/day_05
SEG_001_day_06,SEG_001,6,Overcast Day,Moderate Deterioration (Grade C),🌄 Highway Curve Vantage Overlook,100% Waterlogged Puddles,5.6,0.7141,8,0.0,0.02742476851851852,0.3219,False,1780.1,True,VALID,integration/experiment_a/perception/SEG_001/day_06
SEG_002_day_06,SEG_002,6,Clear Noon (70° Sun),Moderate Deterioration (Grade C),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,5.8,0.3491,2,0.0,0.00022135416666666666,0.269,False,719.83,True,VALID,integration/experiment_a/perception/SEG_002/day_06
SEG_003_day_06,SEG_003,6,Clear Noon (70° Sun),Pristine (Grade A),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.3,0.2436,1,0.0,0.0010749421296296297,0.2813,False,587.04,True,VALID,integration/experiment_a/perception/SEG_003/day_06
SEG_004_day_06,SEG_004,6,Overcast Day,Severe Breakdown (Grade D - Critical),🌄 Highway Curve Vantage Overlook,100% Dry Crushed Aggregate,3.5,0.6612,6,0.0,0.01049045138888889,0.3076,False,1131.5,True,VALID,integration/experiment_a/perception/SEG_004/day_06
SEG_001_day_07,SEG_001,7,Overcast Day,Severe Breakdown (Grade D - Critical),🌄 Highway Curve Vantage Overlook,100% Waterlogged Puddles,6.6,0.7285,5,0.0,0.02787181712962963,0.2964,False,1398.28,True,VALID,integration/experiment_a/perception/SEG_001/day_07
SEG_002_day_07,SEG_002,7,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,5.8,0.2551,1,0.0,0.0022646604938271605,0.2662,False,612.31,True,VALID,integration/experiment_a/perception/SEG_002/day_07
SEG_003_day_07,SEG_003,7,Clear Noon (70° Sun),Pristine (Grade A),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.3,0.2459,1,0.0,0.0009789737654320987,0.2791,False,573.4,True,VALID,integration/experiment_a/perception/SEG_003/day_07
SEG_004_day_07,SEG_004,7,Heavy Rain & Wet Road,Severe Breakdown (Grade D - Critical),🌄 Highway Curve Vantage Overlook,100% Dry Crushed Aggregate,3.5,0.8134,12,0.0,0.022510609567901234,0.3428,True,2025.07,True,VALID,integration/experiment_a/perception/SEG_004/day_07
SEG_001_day_08,SEG_001,8,Golden Hour Sunset,Severe Breakdown (Grade D - Critical),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,7.1,0.7,7,0.0,0.03824074074074074,0.3102,False,2173.87,True,VALID,integration/experiment_a/perception/SEG_001/day_08
SEG_002_day_08,SEG_002,8,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,3.5,0.3288,1,0.0,0.0007301311728395061,0.2852,False,698.52,True,VALID,integration/experiment_a/perception/SEG_002/day_08
SEG_003_day_08,SEG_003,8,Clear Noon (70° Sun),Moderate Deterioration (Grade C),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,3.5,0.2443,1,0.0,0.00099585262345679,0.2879,False,612.16,True,VALID,integration/experiment_a/perception/SEG_003/day_08
SEG_004_day_08,SEG_004,8,Heavy Rain & Wet Road,Severe Breakdown (Grade D - Critical),🌄 Highway Curve Vantage Overlook,100% Dry Crushed Aggregate,3.5,0.8104,11,0.0,0.018253279320987654,0.3394,True,1844.71,True,VALID,integration/experiment_a/perception/SEG_004/day_08
SEG_001_day_09,SEG_001,9,Clear Noon (70° Sun),Critical Hazard (Grade F),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,10.0,0.2469,1,0.0,0.00109375,0.2854,False,589.61,True,VALID,integration/experiment_a/perception/SEG_001/day_09
SEG_002_day_09,SEG_002,9,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),💧 Waterlogged Pothole Macro View,Mixed Wet / Dry Cavities,5.3,0.3276,1,0.0,0.0007966820987654321,0.2757,False,588.02,True,VALID,integration/experiment_a/perception/SEG_002/day_09
SEG_003_day_09,SEG_003,9,Clear Noon (70° Sun),Severe Breakdown (Grade D - Critical),🔭 Overhead Drone Survey (SAM 2 Top-Down),Mixed Wet / Dry Cavities,7.0,0.2437,1,0.0,0.000988136574074074,0.2889,False,603.87,True,VALID,integration/experiment_a/perception/SEG_003/day_09
SEG_004_day_09,SEG_004,9,Golden Hour Sunset,Critical Hazard (Grade F),🌄 Highway Curve Vantage Overlook,100% Dry Crushed Aggregate,4.5,0.0,0,0.0,0.0,0.2515,False,517.52,True,VALID,integration/experiment_a/perception/SEG_004/day_09
SEG_001_day_10,SEG_001,10,Golden Hour Sunset,Critical Hazard (Grade F),🌄 Highway Curve Vantage Overlook,100% Waterlogged Puddles,10.0,0.0,0,0.0,0.0,0.3286,False,525.94,True,VALID,integration/experiment_a/perception/SEG_001/day_10
SEG_002_day_10,SEG_002,10,Clear Noon (70° Sun),Critical Hazard (Grade F),🌄 Highway Curve Vantage Overlook,Mixed Wet / Dry Cavities,5.3,0.3275,1,0.0,0.0008077739197530864,0.2774,False,612.27,True,VALID,integration/experiment_a/perception/SEG_002/day_10
SEG_003_day_10,SEG_003,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0.2459,1,0.0,0.002433449074074074,0.2921,False,606.25,True,MISSING,integration/experiment_a/perception/SEG_003/day_10
SEG_004_day_10,SEG_004,10,Clear Noon (70° Sun),Critical Hazard (Grade F),🌄 Highway Curve Vantage Overlook,100% Dry Crushed Aggregate,4.5,0.0,0,0.0,0.0,0.2885,False,220.22,True,VALID,integration/experiment_a/perception/SEG_004/day_10
