segment_id,day,image_id,current_severity,scenario,days_ahead,rainfall_level,traffic_level,temperature,water_exposure,predicted_future_severity,predicted_change,model_name,forecast_label
SEG_001,1,SEG_001_day_01,0.0,NORMAL,30,2.7376,346.0,6.3965,0.5663,0.0345,0.0345,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,NORMAL,60,2.7376,346.0,6.3965,0.5663,0.0345,0.0345,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,NORMAL,90,2.7376,346.0,6.3965,0.5663,0.0345,0.0345,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HEAVY_RAIN,30,3.769,346.0,6.3965,0.5663,0.0345,0.0345,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HEAVY_RAIN,60,3.769,346.0,6.3965,0.5663,0.0345,0.0345,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HEAVY_RAIN,90,3.769,346.0,6.3965,0.5663,0.0345,0.0345,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HEAVY_TRAFFIC,30,2.7376,784.0,6.3965,0.5663,0.0544,0.0544,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HEAVY_TRAFFIC,60,2.7376,784.0,6.3965,0.5663,0.0544,0.0544,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HEAVY_TRAFFIC,90,2.7376,784.0,6.3965,0.5663,0.0544,0.0544,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HIGH_HEAT,30,2.7376,346.0,21.4915,0.5663,0.0432,0.0432,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HIGH_HEAT,60,2.7376,346.0,21.4915,0.5663,0.0432,0.0432,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,HIGH_HEAT,90,2.7376,346.0,21.4915,0.5663,0.0432,0.0432,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,WET_EXPOSURE,30,2.7376,346.0,6.3965,0.6876,0.0526,0.0526,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,WET_EXPOSURE,60,2.7376,346.0,6.3965,0.6876,0.0526,0.0526,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,1,SEG_001_day_01,0.0,WET_EXPOSURE,90,2.7376,346.0,6.3965,0.6876,0.0526,0.0526,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,2,SEG_001_day_02,0.2489,NORMAL,30,2.7376,346.0,6.3965,0.5663,0.2808,0.0319,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,2,SEG_001_day_02,0.2489,NORMAL,60,2.7376,346.0,6.3965,0.5663,0.2808,0.0319,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,2,SEG_001_day_02,0.2489,NORMAL,90,2.7376,346.0,6.3965,0.5663,0.2808,0.0319,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
SEG_001,2,SEG_001_day_02,0.2489,HEAVY_RAIN,30,3.769,346.0,6.3965,0.5663,0.2808,0.0319,roadsentinel_xgb_v2_ltpp_scenario,MODEL-BASED FORECAST
