domain_metric,china_in_domain,india_cross_domain,separation_or_delta,sample_size,operational_threshold,statistical_significance,scientific_interpretation
mean_dino_knn_distance,0.1841,0.8432,+0.6591,"China N=480, India N=300",N/A,p = 1.31e-122 (Mann-Whitney U),Raw mean kNN cosine distance shifts dramatically between familiar aerial UAV and forward vehicle dashcam
median_dino_knn_distance,0.1693,0.8486,+0.6793,"China N=480, India N=300",N/A,Rank-biserial r = 1.0000,Zero overlap between central tendencies of in-distribution and shifted distributions
std_dino_knn_distance,0.0848,0.0441,-0.0407,"China N=480, India N=300",N/A,Cohen's d = 9.1578,India embeddings are tightly clustered at extreme distance from China training reference
iqr_dino_knn_distance,0.0932,0.0480,-0.0452,"China N=480, India N=300",N/A,Non-parametric robust spread,Interquartile range confirms narrow variance in out-of-domain shift severity
distribution_range,"[0.0393, 0.5247]","[0.6405, 0.9261]",+0.1158 clean margin,"China N=480, India N=300",Zero overlap boundary,min(India) > max(China),The minimum distance in India (0.6405) strictly exceeds maximum distance in China (0.5247) by +0.1158
domain_discrimination_auroc,Reference Class (0),Shifted Class (1),1.0000,N=780 images total,Continuous distance,Perfect separation,DINOv2 foundation embeddings provide flawless macro domain discrimination
domain_discrimination_auprc,Reference Class (0),Shifted Class (1),1.0000,N=780 images total,Continuous distance,Perfect precision-recall,Zero false negatives or false positives across full operational threshold sweep
operational_p99_shift_threshold,False Warning = 1.46% (7/480),Shift Detected = 100.0% (300/300),98.54% net separation,"China N=480, India N=300",0.4491 (China Train p99),Operational deployment gate,Quarantines 100% of out-of-domain India inputs while maintaining 98.54% pass-through on familiar data
operational_p95_warning_threshold,False Warning = 3.96% (19/480),Shift Detected = 100.0% (300/300),96.04% net separation,"China N=480, India N=300",0.3804 (China Train p95),Early warning boundary,Provides conservative boundary for flagging borderline or degraded image captures
decoupling_architecture_role,Sample Correctness AUROC: 0.5428-0.5971,Domain Separation AUROC: 1.0000,Decoupled Roles,Full Architecture,Tier 1 Domain Gate vs Tier 3 Sample Filter,Structural decoupling,DINO domain-awareness is NOT claimed to improve YOLO bounding boxes; YOLO has no self-awareness of distribution shift
