target_definition,evaluation_stratum,coverage_pct,samples_accepted,samples_rejected,failures_accepted,failures_rejected,accepted_failure_rate_pct,accepted_success_rate_pct,failure_capture_rate_pct,relative_risk_reduction_pct,min_reliability_threshold,mean_accepted_yolo_f1,canonical_source,operational_meaning
Target_T1 (Strict F1 >= 0.50),China_Drone_Val (In-Domain),100%,480,0,86,0,17.92,82.08,0.00,0.00,0.0000,0.7161,integration/CANONICAL_RESEARCH_METRICS.json,Baseline unguided inspection; all detector outputs accepted automatically
Target_T1 (Strict F1 >= 0.50),China_Drone_Val (In-Domain),90%,432,48,55,31,12.73,87.27,36.05,28.96,0.5694,0.7584,reliability_validation/RELIABILITY_VALIDATION_RESEARCH_SUMMARY.md,Bottom 10% uncertain observations quarantined for secondary inspection
Target_T1 (Strict F1 >= 0.50),China_Drone_Val (In-Domain),80%,384,96,34,52,8.85,91.15,60.47,50.61,0.7629,0.7891,integration/CANONICAL_RESEARCH_METRICS.json,Canonical 80% coverage reduces accepted failure rate by over 50%
Target_T1 (Strict F1 >= 0.50),China_Drone_Val (In-Domain),70%,336,144,18,68,5.36,94.64,79.07,70.09,0.8847,0.8204,reliability_validation/RELIABILITY_VALIDATION_RESEARCH_SUMMARY.md,"Captures nearly 80% of all detector errors, lifting accepted F1 to 0.8204"
Target_T1 (Strict F1 >= 0.50),China_Drone_Val (In-Domain),60%,288,192,11,75,3.82,96.18,87.21,78.68,0.9443,0.8441,integration/CANONICAL_RESEARCH_METRICS.json,Canonical 60% coverage drops accepted error to 3.82% (78.7% risk reduction)
Target_T1 (Strict F1 >= 0.50),China_Drone_Val (In-Domain),50%,240,240,5,81,2.08,97.92,94.19,88.39,0.9850,0.8712,integration/CANONICAL_RESEARCH_METRICS.json,"High-assurance tier: 88.4% error reduction, isolating 94.2% of baseline failures"
Target_T1 (Model_B Empirical),China_Drone_Val (In-Domain),100%,480,0,86,0,17.92,82.08,0.00,0.00,0.0858,0.7161,reliability_validation/tables/table_risk_coverage_strict.csv,Model B confidence feature ranking on strict target T1
Target_T1 (Model_B Empirical),China_Drone_Val (In-Domain),90%,432,48,49,37,11.34,88.66,43.02,36.72,0.5889,0.7720,reliability_validation/tables/table_risk_coverage_strict.csv,Model B rank-ordered coverage at 90%
Target_T1 (Model_B Empirical),China_Drone_Val (In-Domain),80%,384,96,36,50,9.38,90.62,58.14,47.66,0.7387,0.7967,reliability_validation/tables/table_risk_coverage_strict.csv,Model B rank-ordered coverage at 80%
Target_T1 (Model_B Empirical),China_Drone_Val (In-Domain),70%,336,144,28,58,8.33,91.67,67.44,53.52,0.8024,0.8116,reliability_validation/tables/table_risk_coverage_strict.csv,Model B rank-ordered coverage at 70%
Target_T1 (Model_B Empirical),China_Drone_Val (In-Domain),60%,288,192,22,64,7.64,92.36,74.42,57.37,0.8604,0.8226,reliability_validation/tables/table_risk_coverage_strict.csv,Model B rank-ordered coverage at 60%
Target_T1 (Model_B Empirical),China_Drone_Val (In-Domain),50%,240,240,15,71,6.25,93.75,82.56,65.12,0.9091,0.8400,reliability_validation/tables/table_risk_coverage_strict.csv,Model B rank-ordered coverage at 50%
Target_T0 (Historical F1 > 0),China_Drone_Val (In-Domain),100%,480,0,57,0,11.87,88.13,0.00,0.00,0.0148,0.7161,reliability/results/table_risk_coverage.csv,Phase 8 baseline where failure is defined strictly as zero matched defects (F1 == 0)
Target_T0 (Historical F1 > 0),China_Drone_Val (In-Domain),90%,432,48,22,35,5.09,94.91,61.40,57.12,0.7478,0.7697,reliability/results/table_risk_coverage.csv,Eliminating lowest 10% reliability cuts failure rate by more than half (11.87% -> 5.09%)
Target_T0 (Historical F1 > 0),China_Drone_Val (In-Domain),80%,384,96,18,39,4.69,95.31,68.42,60.53,0.8899,0.7663,reliability/results/table_risk_coverage.csv,Eliminating lowest 20% drops error from 11.87% to 4.69%
Target_T0 (Historical F1 > 0),China_Drone_Val (In-Domain),70%,336,144,16,41,4.76,95.24,71.93,59.90,0.9283,0.7613,reliability/results/table_risk_coverage.csv,Retains 70% coverage with 4.76% accepted failure rate
Target_T0 (Historical F1 > 0),China_Drone_Val (In-Domain),60%,288,192,12,45,4.17,95.83,78.95,64.91,0.9509,0.7667,reliability/results/table_risk_coverage.csv,Captures ~79% of all zero-detection failures
Target_T0 (Historical F1 > 0),China_Drone_Val (In-Domain),50%,240,240,7,50,2.92,97.08,87.72,75.44,0.9636,0.7677,reliability/results/table_risk_coverage.csv,50% coverage isolates 87.7% of all zero-detection failures
