metric_category,metric_name,value,unit,canonical_source,data_labeling,notes
Dataset Validation,validated_same_camera_sequences,8,sequences,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,"SEG_001 (1 seq), SEG_002 (3 seqs), SEG_003 (2 seqs), SEG_004 (2 seqs)"
Dataset Validation,total_physical_captures,40,captures,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,Exactly 40 multi-day physical survey frames evaluated across 4 road segments
Transition Dynamics,eligible_matched_transitions,33,transitions,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,Adjacent observation pairs matched via greedy hierarchical one-to-one tracking
Tracking Topology,unique_defect_tracks,48,tracks,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,Distinct physical distress identities tracked across multi-day survey intervals
Tracking Topology,longest_continuous_track,7,states,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,SEG_003_D01_D07 invariant road patch tracked continuously across 7 inspection days
Tracking Topology,mean_track_length_weighted,1.69,states/track,integration/experiment_a/temporal/tables/table_tracking_statistics.csv,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,81 total detections across 48 unique defect tracks = 1.6875 states/track
Tracking Topology,mean_track_length_unweighted,2.23,states/sequence,integration/experiment_a/temporal/tables/table_tracking_statistics.csv,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,Unweighted arithmetic average of mean sequence track lengths across the 8 sequences
Tracking Topology,tracks_ge_2_states,22,tracks,integration/experiment_a/temporal/tables/table_tracking_statistics.csv,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,22 unique defect tracks persist across 2 or more consecutive inspection captures
Tracking Topology,persistence_ratio,45.83,percent,integration/experiment_a/temporal/tables/table_tracking_statistics.csv,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,22 multi-state tracks / 48 unique tracks = 45.83% defect persistence ratio
Event Quantification,new_defect_events,48,events,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,Distress instances detected on current frame with no precursor in previous frame
Event Quantification,not_observed_events,34,events,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,Known defect tracks unobserved in subsequent inspection due to occlusion/lighting
Event Quantification,observed_area_increased_events,14,events,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,Matched transitions where pixel defect area grew by >= 5%
Event Quantification,observed_area_decreased_events,19,events,integration/CANONICAL_RESEARCH_METRICS.json,MODEL-OBSERVED TEMPORAL CHANGE / SIMULATED TEMPORAL DATA,"Matched transitions where pixel defect area contracted (e.g. shadow changes, drying)"
Core Thesis Conclusion,temporal_representation_gap,UNAVAILABLE_IN_STANDALONE_YOLO,capability,integration/RESEARCH_CLAIM_REGISTRY.md,CORE ARCHITECTURAL FINDING,Single-frame YOLO detections do not themselves encode cross-inspection persistence or change. YOLO was not designed for temporal association.
