analysis_level,metric_category,metric_or_bin,sample_size,total_in_stratum,failures_in_stratum,value_or_rate,reference_threshold,notes
Detection-level,Central Tendency,correct_detections_mean_confidence,N=574 True Positives,574,0,0.6135,IoU >= 0.50,Median confidence of correct detections is 0.6188
Detection-level,Central Tendency,incorrect_detections_mean_confidence,N=300 False Positives,300,300,0.4262,IoU < 0.50 (Unmatched),Median confidence of incorrect detections is 0.3839
Detection-level,High-Confidence False Alarms,pct_incorrect_with_conf_ge_0.50,N=300 False Positives,300,91,30.33%,conf >= 0.50,91 false alarms have confidence >= 0.50; confidence alone does not eliminate false alarms
Detection-level,High-Confidence False Alarms,pct_incorrect_with_conf_ge_0.70,N=300 False Positives,300,14,4.67%,conf >= 0.70,14 false alarms have confidence >= 0.70 (persisting on high-contrast road markings)
Detection-level,High-Confidence False Alarms,pct_incorrect_with_conf_ge_0.80,N=300 False Positives,300,4,1.33%,conf >= 0.80,4 false alarms exhibit very high confidence >= 0.80
Detection-level,High-Confidence False Alarms,pct_incorrect_with_conf_ge_0.90,N=300 False Positives,300,1,0.33%,conf >= 0.90,1 false alarm exhibits extreme confidence >= 0.90 (0.33% of FPs)
Detection-level,Reliability Diagram Bin,"bin_[0.0, 0.2)",N=874 detections,0,0,N/A,"[0.0, 0.2)",Zero detections present because YOLO inference threshold is conf >= 0.25
Detection-level,Reliability Diagram Bin,"bin_[0.2, 0.4)",N=874 detections,265,162,61.13%,"[0.2, 0.4)","Accuracy = 38.87%, Mean bin conf = 0.2989; highest error concentration"
Detection-level,Reliability Diagram Bin,"bin_[0.4, 0.6)",N=874 detections,256,92,35.94%,"[0.4, 0.6)","Accuracy = 64.06%, Mean bin conf = 0.4952; moderate defect reliability"
Detection-level,Reliability Diagram Bin,"bin_[0.6, 0.8)",N=874 detections,252,42,16.67%,"[0.6, 0.8)","Accuracy = 83.33%, Mean bin conf = 0.6974; strong defect reliability"
Detection-level,Reliability Diagram Bin,"bin_[0.8, 1.0]",N=874 detections,101,4,3.96%,"[0.8, 1.0]","Accuracy = 96.04%, Mean bin conf = 0.8710; high reliability band"
Detection-level,Global Calibration Score,detection_correctness_auroc,"N=874 detections (574 TP, 300 FP)",874,300,0.7741,Continuous conf,AUROC for discriminating TP from FP based on detector confidence alone
Detection-level,Global Calibration Score,detection_correctness_auprc,"N=874 detections (574 TP, 300 FP)",874,300,0.8705,Continuous conf,AUPRC for predicting True Positives (baseline positive rate = 65.68%)
Detection-level,Global Calibration Score,detection_brier_score,N=874 detections,874,300,0.1921,Continuous conf,Mean squared error between confidence and binary correctness label
Detection-level,Global Calibration Score,detection_expected_calibration_error_ece,N=874 detections,874,300,0.1075,10 uniform bins,Expected Calibration Error measuring average discrepancy between confidence and empirical accuracy
Image-level,Image-Level Reliability,target_t1_model_b_failure_auroc,"N=480 images (86 failures, 394 successes)",480,86,0.8166,"5-fold CV, F1 >= 0.50","Model B (Confidence features) 95% CI: [0.7667, 0.8669], AUPRC: 0.6490"
Image-level,Image-Level Reliability,target_t0_model_b_failure_auroc,"N=480 images (57 failures, 423 successes)",480,57,0.8649,"5-fold CV, F1 > 0","Model B 95% CI: [0.8000, 0.9220], AUPRC: 0.7274, Brier: 0.0497, ECE: 0.0156"
Image-level,Image-Level Reliability,target_t0_model_c_combined_failure_auroc,"N=480 images (57 failures, 423 successes)",480,57,0.8549,"5-fold CV, F1 > 0","Model C (Conf + DINO OOD + Quality) AUPRC: 0.7170, Brier: 0.0511, ECE: 0.0308"
