feature,importance_mean,importance_std,logistic_coefficient
mean_confidence,0.09014,0.02212,-1.1883
yolo_pred_count,0.07639,0.02014,-1.2282
max_confidence,0.04492,0.01628,-0.8205
num_high_conf,0.01916,0.00991,0.7926
edge_density,0.01879,0.00955,-0.4407
sharpness,0.00899,0.00706,0.423
dino_ood_score,0.00435,0.00427,0.1925
brightness,0.00275,0.00522,0.2423
contrast,0.00192,0.00244,0.1016
num_low_conf,0.00065,0.00183,-0.077
dino_centroid_distance,0.00044,0.00413,-0.1696
dino_knn_distance,-0.00022,0.00123,-0.0575
std_confidence,-0.00161,0.00259,0.1258
