site_id,state,state_code,shrp_id,construction_no,current_date,future_date,observed_days_ahead,days_ahead,current_iri_m_per_km,future_iri_m_per_km,rainfall_level,traffic_level,temperature,water_exposure,rain_observation_days,temperature_observation_days,traffic_source
02-1001,AK,2,1001,1,1990-05-28,1991-08-21,450,450,1.230999947,1.276000023,3.370222232,192.000000000,3.920444465,0.668888889,450,450,TRF_REP
02-1001,AK,2,1001,3,1997-08-22,1999-06-24,671,660,1.416000009,1.526999950,3.110581227,190.000000000,1.327719826,0.664679583,671,671,TRF_MEPDG_AADTT_LTPP_LN
02-1001,AK,2,1001,4,2001-07-14,2003-06-16,702,690,1.554000020,1.628999949,3.413390321,192.000000000,3.285470078,0.650997151,702,702,TRF_REP
02-1001,AK,2,1001,4,2003-06-16,2005-05-05,689,690,1.628999949,1.674000025,4.138026121,192.000000000,3.542960813,0.583454282,689,689,TRF_REP
02-1002,AK,2,1002,1,1990-06-02,1991-08-22,446,450,1.700999975,1.557000041,5.154484312,125.000000000,4.049551582,0.708520179,446,446,TRF_REP
02-1002,AK,2,1002,1,1993-08-25,1995-06-14,658,660,1.544999957,1.896999955,6.892249237,180.000000000,2.154407312,0.775075988,658,658,TRF_MEPDG_AADTT_LTPP_LN
02-1002,AK,2,1002,2,2001-07-14,2003-06-13,699,690,1.340000033,1.406999946,7.161516428,242.000000000,3.858512167,0.688125894,699,699,TRF_REP
02-1002,AK,2,1002,2,2003-06-13,2005-05-04,691,690,1.406999946,2.036000013,6.527496384,242.000000000,4.106946459,0.642547033,691,691,TRF_REP
02-1004,AK,2,1004,2,1993-08-27,1995-06-13,655,660,1.799999952,1.962000012,1.192366408,345.000000000,1.097404577,0.427480916,655,655,TRF_REP
02-1004,AK,2,1004,3,2001-07-10,2003-06-12,702,690,2.308000088,2.506000042,1.160683763,345.000000000,1.846438741,0.443019943,702,702,TRF_REP
02-1004,AK,2,1004,3,2003-06-12,2005-05-03,691,690,2.506000042,2.884999990,1.404196818,345.000000000,1.964254712,0.445730825,691,691,TRF_REP
02-1008,AK,2,1008,1,1990-05-25,1991-08-29,461,450,0.829999983,0.901000023,1.437527111,134.000000000,1.337527080,0.540130152,461,461,TRF_REP
02-1008,AK,2,1008,1,1997-08-28,1999-06-16,657,660,1.098999977,1.309999943,0.719482495,134.000000000,-4.159056294,0.432267884,657,657,TRF_REP
02-6010,AK,2,6010,1,1990-05-29,1991-08-28,456,450,1.078999996,1.110999942,1.295394742,346.000000000,3.944736848,0.513157895,456,456,TRF_REP
02-6010,AK,2,6010,1,1991-08-28,1993-08-24,727,720,1.110999942,1.072999954,1.021733150,346.000000000,2.088445672,0.464924347,727,727,TRF_REP
02-6010,AK,2,6010,1,1993-08-24,1995-06-12,657,660,1.072999954,1.149999976,1.061339424,240.000000000,0.988127850,0.493150685,657,657,TRF_MEPDG_AADTT_LTPP_LN
02-9035,AK,2,9035,3,1997-08-26,1999-06-18,661,660,1.144000053,1.350999951,1.793645991,60.000000000,0.184568828,0.497730711,661,661,TRF_MEPDG_AADTT_LTPP_LN
02-9035,AK,2,9035,4,2001-07-16,2003-06-19,703,690,1.338000059,1.370000005,2.055192031,160.000000000,2.760597456,0.499288762,703,703,TRF_REP
