site_id,current_date,future_date,days_ahead,current_rating,future_rating,current_severity,future_severity,borough,on_street,from_street,to_street
110010118430118450,2018-04-14,2018-09-01,140,9.110000,9.190000,0.098888889,0.090000000,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118430118450,2018-09-01,2019-08-17,350,9.190000,9.110000,0.090000000,0.098888889,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118430118450,2019-08-17,2020-10-03,413,9.110000,8.390000,0.098888889,0.178888889,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118430118450,2020-10-03,2022-04-23,567,8.390000,7.890000,0.178888889,0.234444444,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118430118450,2022-04-23,2023-01-14,266,7.890000,8.000000,0.234444444,0.222222222,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118430118450,2023-01-14,2024-03-24,435,8.000000,6.270000,0.222222222,0.414444444,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118430118450,2024-03-24,2025-07-06,469,6.270000,7.560000,0.414444444,0.271111111,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118430118450,2025-07-06,2026-07-10,369,7.560000,8.770000,0.271111111,0.136666667,Manhattan,1 AVENUE,EAST 72 STREET,EAST 73 STREET
110010118450118470,2018-04-14,2018-09-01,140,8.050000,9.930000,0.216666667,0.007777778,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118450118470,2018-09-01,2019-08-17,350,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118450118470,2019-08-17,2020-10-03,413,9.930000,8.250000,0.007777778,0.194444444,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118450118470,2020-10-03,2022-04-23,567,8.250000,8.000000,0.194444444,0.222222222,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118450118470,2022-04-23,2023-01-14,266,8.000000,9.010000,0.222222222,0.110000000,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118450118470,2023-01-14,2024-03-24,435,9.010000,7.750000,0.110000000,0.250000000,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118450118470,2024-03-24,2025-07-06,469,7.750000,7.410000,0.250000000,0.287777778,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118450118470,2025-07-06,2026-07-10,369,7.410000,8.140000,0.287777778,0.206666667,Manhattan,1 AVENUE,EAST 73 STREET,EAST 74 STREET
110010118470118490,2018-04-14,2018-09-01,140,9.110000,9.930000,0.098888889,0.007777778,Manhattan,1 AVENUE,EAST 74 STREET,EAST 75 STREET
110010118470118490,2018-09-01,2019-08-17,350,9.930000,9.110000,0.007777778,0.098888889,Manhattan,1 AVENUE,EAST 74 STREET,EAST 75 STREET
110010118470118490,2019-08-17,2020-10-03,413,9.110000,8.390000,0.098888889,0.178888889,Manhattan,1 AVENUE,EAST 74 STREET,EAST 75 STREET
110010118470118490,2020-10-03,2022-04-23,567,8.390000,8.770000,0.178888889,0.136666667,Manhattan,1 AVENUE,EAST 74 STREET,EAST 75 STREET
