"oftcode","boroughname","onstreetna","fromstreet","tostreetna","inspection","systemrating"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2018-04-14T00:00:00.000","9.11"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2018-09-01T00:00:00.000","9.19"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2019-08-17T00:00:00.000","9.11"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2020-10-03T00:00:00.000","8.39"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2022-04-23T00:00:00.000","7.89"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2023-01-14T00:00:00.000","8.0"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2024-03-24T00:00:00.000","6.27"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2025-07-06T00:00:00.000","7.56"
"110010118430118450","Manhattan","1 AVENUE","EAST 72 STREET","EAST 73 STREET","2026-07-10T00:00:00.000","8.77"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2018-04-14T00:00:00.000","8.05"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2018-09-01T00:00:00.000","9.93"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2019-08-17T00:00:00.000","9.93"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2020-10-03T00:00:00.000","8.25"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2022-04-23T00:00:00.000","8.0"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2023-01-14T00:00:00.000","9.01"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2024-03-24T00:00:00.000","7.75"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2025-07-06T00:00:00.000","7.41"
"110010118450118470","Manhattan","1 AVENUE","EAST 73 STREET","EAST 74 STREET","2026-07-10T00:00:00.000","8.14"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2018-04-14T00:00:00.000","9.11"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2018-09-01T00:00:00.000","9.93"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2019-08-17T00:00:00.000","9.11"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2020-10-03T00:00:00.000","8.39"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2022-04-23T00:00:00.000","8.77"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2023-01-14T00:00:00.000","9.11"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2024-03-24T00:00:00.000","7.79"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2025-07-06T00:00:00.000","7.56"
"110010118470118490","Manhattan","1 AVENUE","EAST 74 STREET","EAST 75 STREET","2026-07-10T00:00:00.000","8.24"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2018-04-14T00:00:00.000","9.11"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2018-09-01T00:00:00.000","9.93"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2019-08-17T00:00:00.000","9.11"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2020-10-03T00:00:00.000","8.49"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2022-04-23T00:00:00.000","8.59"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2023-01-14T00:00:00.000","9.01"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2024-03-24T00:00:00.000","7.36"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2025-07-06T00:00:00.000","7.41"
"110010118490118510","Manhattan","1 AVENUE","EAST 75 STREET","EAST 76 STREET","2026-07-10T00:00:00.000","6.9"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2018-06-02T00:00:00.000","9.11"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2018-09-01T00:00:00.000","9.93"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2019-08-17T00:00:00.000","9.93"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2020-10-03T00:00:00.000","8.39"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2022-04-23T00:00:00.000","8.15"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2023-01-14T00:00:00.000","9.11"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2024-03-24T00:00:00.000","7.21"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2025-07-06T00:00:00.000","6.92"
"110010118510118530","Manhattan","1 AVENUE","EAST 76 STREET","EAST 77 STREET","2026-07-10T00:00:00.000","9.59"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2018-06-02T00:00:00.000","9.93"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2018-09-01T00:00:00.000","9.93"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2019-08-17T00:00:00.000","9.93"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2020-10-03T00:00:00.000","9.93"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2022-04-23T00:00:00.000","8.77"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2023-01-14T00:00:00.000","9.11"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2024-03-24T00:00:00.000","7.57"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2025-07-06T00:00:00.000","7.59"
"110010118530118550","Manhattan","1 AVENUE","EAST 77 STREET","EAST 78 STREET","2026-07-10T00:00:00.000","9.59"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2018-06-02T00:00:00.000","9.11"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2018-09-01T00:00:00.000","9.11"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2019-08-17T00:00:00.000","9.93"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2020-10-03T00:00:00.000","9.11"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2022-04-23T00:00:00.000","9.01"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2023-01-14T00:00:00.000","8.24"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2024-03-24T00:00:00.000","7.45"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2025-07-06T00:00:00.000","8.8"
"110010118550118570","Manhattan","1 AVENUE","EAST 78 STREET","EAST 79 STREET","2026-07-10T00:00:00.000","9.93"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2018-06-02T00:00:00.000","9.11"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2018-09-01T00:00:00.000","9.93"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2019-08-17T00:00:00.000","9.93"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2020-10-03T00:00:00.000","9.93"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2022-04-23T00:00:00.000","8.77"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2023-01-14T00:00:00.000","9.11"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2024-03-24T00:00:00.000","9.14"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2025-07-06T00:00:00.000","7.56"
"110010118570118590","Manhattan","1 AVENUE","EAST 79 STREET","EAST 80 STREET","2026-07-10T00:00:00.000","9.93"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2018-06-02T00:00:00.000","9.93"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2018-09-01T00:00:00.000","9.93"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2019-08-17T00:00:00.000","9.93"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2020-10-03T00:00:00.000","9.93"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2022-04-23T00:00:00.000","8.77"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2023-01-14T00:00:00.000","9.11"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2024-03-24T00:00:00.000","9.14"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2025-07-06T00:00:00.000","9.44"
"110010118590118610","Manhattan","1 AVENUE","EAST 80 STREET","EAST 81 STREET","2026-07-10T00:00:00.000","8.05"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2018-06-02T00:00:00.000","9.93"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2018-09-01T00:00:00.000","9.93"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2019-08-17T00:00:00.000","9.93"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2020-10-03T00:00:00.000","8.49"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2022-04-23T00:00:00.000","8.87"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2023-01-14T00:00:00.000","9.93"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2024-03-24T00:00:00.000","9.26"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2025-07-06T00:00:00.000","9.44"
"110010118610118630","Manhattan","1 AVENUE","EAST 81 STREET","EAST 82 STREET","2026-07-10T00:00:00.000","9.83"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2018-06-02T00:00:00.000","9.11"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2018-09-01T00:00:00.000","9.93"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2019-08-17T00:00:00.000","9.93"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2020-10-03T00:00:00.000","9.11"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2022-04-23T00:00:00.000","8.69"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2023-01-14T00:00:00.000","9.11"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2024-03-24T00:00:00.000","7.27"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2025-07-06T00:00:00.000","8.14"
"110010118630118650","Manhattan","1 AVENUE","EAST 82 STREET","EAST 83 STREET","2026-07-10T00:00:00.000","7.77"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2018-06-02T00:00:00.000","9.11"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2018-09-01T00:00:00.000","9.11"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2019-08-17T00:00:00.000","9.11"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2020-10-03T00:00:00.000","9.69"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2022-04-23T00:00:00.000","8.87"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2023-01-14T00:00:00.000","7.24"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2024-03-24T00:00:00.000","6.45"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2025-07-06T00:00:00.000","9.44"
"110010118650118670","Manhattan","1 AVENUE","EAST 83 STREET","EAST 84 STREET","2026-07-10T00:00:00.000","9.29"
"110010118670118690","Manhattan","1 AVENUE","EAST   84 STREET","EAST   85 STREET","2018-06-02T00:00:00.000","9.01"
"110010118670118690","Manhattan","1 AVENUE","EAST   84 STREET","EAST   85 STREET","2018-09-01T00:00:00.000","8.05"
"110010118670118690","Manhattan","1 AVENUE","EAST   84 STREET","EAST   85 STREET","2019-08-17T00:00:00.000","9.11"
"110010118670118690","Manhattan","1 AVENUE","EAST   84 STREET","EAST   85 STREET","2020-10-03T00:00:00.000","9.93"
"110010118670118690","Manhattan","1 AVENUE","EAST   84 STREET","EAST   85 STREET","2022-04-23T00:00:00.000","8.87"
"110010118670118690","Manhattan","1 AVENUE","EAST   84 STREET","EAST   85 STREET","2023-01-14T00:00:00.000","9.01"
