"oftcode","observation_dates"
"305280311480311490","12"
"305280311490311530","12"
"259520226520226550","11"
"259520226580226610","11"
"259520226700240520","11"
"347170328220347155","10"
"360530368250375760","10"
"554300531785550410","10"
"110010118430118450","9"
"110010118450118470","9"
"110010118470118490","9"
"110010118490118510","9"
"110010118510118530","9"
"110010118530118550","9"
"110010118550118570","9"
"110010118570118590","9"
"110010118590118610","9"
"110010118610118630","9"
"110010118630118650","9"
"110010118650118670","9"
"110010118670118690","9"
"110010118690118710","9"
"110210117870117890","9"
"110210118150118170","9"
"110210118190113113","9"
"110210118270118290","9"
"110210118290118310","9"
"110210118310130120","9"
"110210118350118370","9"
"110210118350130120","9"
"110210118370118390","9"
"110210118390118410","9"
"110210118410118430","9"
"111710136970136990","9"
"113610113113117170","9"
"115710135070135090","9"
"115710135090135110","9"
"115710135110135130","9"
"115710135130135150","9"
"115710135150135170","9"
"115710135310135330","9"
"115710135330135350","9"
"115710135350135370","9"
"115710135410135430","9"
"115710135450135470","9"
"115710135470135490","9"
"115710135490135510","9"
"115710135530135550","9"
"128790125490126390","9"
"133930110410125190","9"
"208120225830225860","9"
"209320216020231220","9"
"209320244120268520","9"
"209620229820278510","9"
"209620250820276970","9"
"209620250820278510","9"
"214020234470248020","9"
"223820232020245520","9"
"225800223020242420","9"
"225800223020265620","9"
"225890212320221920","9"
"225890212320223020","9"
"225890215720265620","9"
"225890223020259320","9"
"225890242420259320","9"
"225920208120268020","9"
"225980215720265620","9"
"225980215720278150","9"
"225980268020278150","9"
"226070242420269720","9"
"226340218620269720","9"
"226340233320242420","9"
"226340233320252710","9"
"226340242420269720","9"
"226460218620269720","9"
"226460233320242420","9"
"226460233320269020","9"
"226460242420269720","9"
"226460269020270420","9"
"226490218620269720","9"
"226490233320242420","9"
"226490233320269020","9"
"226490259520270420","9"
"226490269020270420","9"
"226700259520270420","9"
"226700269020270420","9"
"226730213820269020","9"
"226730259520270420","9"
"226730269020270420","9"
"230120210520236720","9"
"230120210520265060","9"
"230120215920256320","9"
"230120236720256320","9"
"230120245120265060","9"
"230120245120267400","9"
"232020219820223820","9"
"236420226940252720","9"
"236420227060229120","9"
"236420227090227120","9"
"236420227180232520","9"
"236420227540229020","9"
"236720229620230120","9"
"237420207720209320","9"
"237420207720237920","9"
"237420209320211140","9"
"237420216620237920","9"
"237420216620264320","9"
"240420210520245120","9"
"240420210520256320","9"
"240420215920256320","9"
"242420225800225830","9"
"242420225830225860","9"
"242420225860225890","9"
"242420225890225920","9"
"242420225920265920","9"
"242420225980226010","9"
"242420226070226130","9"
"244120207720237920","9"
"244120216620237920","9"
"245120219820223820","9"
"245120219820277550","9"
"245120223820264740","9"
"245120229620230120","9"
"245120230120246520","9"
"245120230750271920","9"
"245120230820240420","9"
"245120240420246520","9"
"245120271920277550","9"
"245520219820277550","9"
"248020229820278510","9"
"248020250820276970","9"
"248020250820278510","9"
"259520226670240520","9"
"259520226670266690","9"
"259520226730233720","9"
"259520266625266690","9"
"264740210520245120","9"
"265060229620230120","9"
"265620225800225830","9"
"266420223820273220","9"
"268720216720265520","9"
"268720254520260520","9"
"269020226490226550","9"
"269720226460226490","9"
"269720226490226550","9"
"273620274840274870","9"
"277450216620264320","9"
"277550232020245520","9"
"305430310180310230","9"
"305430310230310280","9"
"305430310280310330","9"
"305430317380368730","9"
"310380306480306580","9"
"310880307230316680","9"
"310880390880390930","9"
"310880390980391030","9"
"314480318630335980","9"
"314480335630335680","9"
"314480335980336030","9"
"314530318630335880","9"
"314530318630335980","9"
"314530335730335780","9"
"314530335730367530","9"
"314530335780335830","9"
"314530335830335880","9"
"314530335980336030","9"
"314530336030336080","9"
"314530336080336130","9"
"314530336130367030","9"
"314530381830391130","9"
"314530390630390680","9"
"314530390680390730","9"
"314530390730390780","9"
"314530390780390830","9"
"314530390880390930","9"
"314530390930390980","9"
"314530390980391030","9"
"314530391030391080","9"
"314530391080391130","9"
"314580318630335880","9"
"314580335580335630","9"
"314580335630335680","9"
"314580335680367530","9"
"314580335730335780","9"
"314580335730367530","9"
"314580335780335830","9"
"314580335830335880","9"
"314580390630390680","9"
"314580390680390730","9"
"314580390730390780","9"
"314830334830334880","9"
"314830334830392430","9"
"314830334880334930","9"
"314830334930367730","9"
"314830390530390580","9"
"314830390530392430","9"
"314830390580390630","9"
"320830313430355830","9"
"320830318830370930","9"
"320830318830383730","9"
