image_name,condition,ground_truth_available,tp,fp,fn,precision,recall,f1,iou,num_detections,mean_confidence,inference_ms,notes
China_Drone_000001.jpg,daylight,true,2,3,0,0.4000,1.0000,0.5714,0.6599,5,0.3916,945.3,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000001.jpg,low_light,true,1,1,1,0.5000,0.5000,0.5000,0.7812,2,0.5248,853.77,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000001.jpg,rain,true,1,1,1,0.5000,0.5000,0.5000,0.8074,2,0.4831,850.08,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000001.jpg,wet_road,true,0,3,2,0.0000,0.0000,0.0000,,3,0.3469,860.46,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000001.jpg,shadows,true,0,3,2,0.0000,0.0000,0.0000,,3,0.3764,848.4,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000001.jpg,fog_haze,true,1,0,1,1.0000,0.5000,0.6667,0.8730,1,0.6203,858.07,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000004.jpg,daylight,true,1,1,1,0.5000,0.5000,0.5000,0.8199,2,0.5081,3.86,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000004.jpg,low_light,true,1,0,1,1.0000,0.5000,0.6667,0.8017,1,0.6944,3.76,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000004.jpg,rain,true,1,2,1,0.3333,0.5000,0.4000,0.8147,3,0.4004,3.75,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000004.jpg,wet_road,true,1,1,1,0.5000,0.5000,0.5000,0.6060,2,0.5591,3.77,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000004.jpg,shadows,true,0,1,2,0.0000,0.0000,0.0000,,1,0.5123,4.02,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000004.jpg,fog_haze,true,1,1,1,0.5000,0.5000,0.5000,0.8138,2,0.3960,3.85,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000064.jpg,daylight,true,1,1,1,0.5000,0.5000,0.5000,0.9729,2,0.5757,3.03,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000064.jpg,low_light,true,1,1,1,0.5000,0.5000,0.5000,0.9606,2,0.6044,2.67,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000064.jpg,rain,true,1,1,1,0.5000,0.5000,0.5000,0.9808,2,0.6045,2.64,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000064.jpg,wet_road,true,1,0,1,1.0000,0.5000,0.6667,0.9741,1,0.7747,2.68,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
China_Drone_000064.jpg,shadows,true,1,1,1,0.5000,0.5000,0.5000,0.9886,2,0.5743,3.18,Synthetic photometric condition; IoU match uses same class and threshold 0.50.
