image_id,original_filename,model_name,checkpoint_hash,class_id,class_name,confidence,bbox,inference_ms,condition,condition_provenance,viewpoint
China_Drone_000104,China_Drone_000104.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.9182999730110168,"[120, 0, 287, 152]",3775.11,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000104,China_Drone_000104.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.8841999769210815,"[0, 365, 226, 475]",3775.11,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000122,China_Drone_000122.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.8999000191688538,"[164, 0, 332, 188]",104.01,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000122,China_Drone_000122.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.6638000011444092,"[394, 99, 511, 317]",104.01,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000175,China_Drone_000175.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.5419999957084656,"[241, 459, 510, 512]",90.07,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000175,China_Drone_000175.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.4090000092983246,"[361, 459, 512, 502]",90.07,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000175,China_Drone_000175.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.3301999866962433,"[304, 461, 511, 504]",90.07,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000213,China_Drone_000213.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.7915999889373779,"[303, 1, 475, 195]",114.9,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000213,China_Drone_000213.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,0,D00,0.4269999861717224,"[113, 0, 180, 107]",114.9,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.3912000060081482,"[376, 361, 483, 453]",109.62,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.3375000059604645,"[361, 191, 480, 455]",109.62,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.29919999837875366,"[361, 62, 462, 463]",109.62,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.2888999879360199,"[364, 214, 447, 387]",109.62,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.2734000086784363,"[372, 268, 483, 475]",109.62,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000295,China_Drone_000295.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.36640000343322754,"[0, 280, 92, 512]",112.85,shadow,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000318,China_Drone_000318.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.5873000025749207,"[348, 247, 512, 511]",91.79,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000318,China_Drone_000318.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.5284000039100647,"[174, 246, 502, 512]",91.79,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000318,China_Drone_000318.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.34470000863075256,"[348, 0, 512, 16]",91.79,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000318,China_Drone_000318.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.2856000065803528,"[298, 0, 359, 251]",91.79,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000322,China_Drone_000322.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.7840999960899353,"[0, 371, 341, 512]",89.52,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000322,China_Drone_000322.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.5062000155448914,"[59, 0, 140, 93]",89.52,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000484,China_Drone_000484.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.8938000202178955,"[0, 273, 512, 463]",103.4,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000484,China_Drone_000484.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.43540000915527344,"[1, 20, 512, 97]",103.4,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000494,China_Drone_000494.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.853600025177002,"[412, 64, 512, 98]",101.98,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000511,China_Drone_000511.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.7342000007629395,"[204, 4, 512, 109]",93.01,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000534,China_Drone_000534.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.7189000248908997,"[202, 47, 391, 451]",171.91,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000535,China_Drone_000535.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,0,D00,0.3580000102519989,"[234, 0, 287, 512]",110.06,daylight,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
China_Drone_000592,China_Drone_000592.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.698199987411499,"[0, 240, 267, 282]",97.45,low_light,VISUAL CONDITION LABEL — NOT SENSOR/METADATA VERIFIED,UAV / nadir
