image_id,original_filename,model_name,checkpoint_hash,class_id,class_name,confidence,bbox,inference_ms,condition,condition_provenance,viewpoint
0454,0454.png,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,0,D00,0.2508000135421753,"[187, 180, 311, 260]",917.28,unknown,UNKNOWN,ground-level / nadir
China_Drone_000104,China_Drone_000104.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.9182999730110168,"[120, 0, 287, 152]",4.49,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000104,China_Drone_000104.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.8841999769210815,"[0, 365, 226, 475]",4.49,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000122,China_Drone_000122.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.8999999761581421,"[164, 0, 332, 188]",2.96,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000122,China_Drone_000122.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.6638000011444092,"[394, 99, 511, 317]",2.96,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000175,China_Drone_000175.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.5422999858856201,"[241, 459, 510, 512]",2.58,low_light,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000175,China_Drone_000175.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.4090999960899353,"[361, 459, 512, 502]",2.58,low_light,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000175,China_Drone_000175.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,1,D10,0.3301999866962433,"[305, 461, 511, 504]",2.58,low_light,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000213,China_Drone_000213.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.7911999821662903,"[303, 1, 475, 195]",2.43,low_light,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000213,China_Drone_000213.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,0,D00,0.42730000615119934,"[113, 0, 180, 107]",2.43,low_light,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.39079999923706055,"[376, 361, 483, 453]",2.32,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.33799999952316284,"[361, 191, 480, 455]",2.32,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.29980000853538513,"[361, 63, 462, 463]",2.32,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.2890999913215637,"[364, 214, 447, 387]",2.32,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000258,China_Drone_000258.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.27390000224113464,"[372, 268, 483, 475]",2.32,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000295,China_Drone_000295.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,2,D20,0.36640000343322754,"[0, 280, 92, 512]",2.3,shadow,VISUAL_LABEL_ONLY,UAV / nadir
China_Drone_000318,China_Drone_000318.jpg,RoadSentinel YOLOv8n,ddbea38144425aad288f05d90f07a38bcac35eeb467767643c707eb8e2fb5dcf,4,Repair,0.5873000025749207,"[348, 247, 512, 511]",2.32,daylight,VISUAL_LABEL_ONLY,UAV / nadir
